tract,percent_vehicle_carpool_2016,percent_vehicle_carpool_2015,percent_vehicle_carpool_2014,percent_vehicle_carpool_2013,percent_vehicle_carpool_2012,percent_vehicle_carpool_2011
101.0,7.263201640597913,7.209612817000001,10.61946903,12.98701299,10.80517313,10.96014493
102.01,7.917526809900639,8.202281838,9.102322662,12.1886121,12.68564356,13.63905325
102.02,3.280703420704259,2.561576355,3.849679193,3.084832905,2.196836555,6.25
103.0,13.642343044188555,14.39917127,15.18253156,10.18131102,8.850150855,7.40625
104.0,6.435743177876027,6.463124504,6.751054852,9.460025115,10.04784689,7.826086957
105.01,3.1259484075386013,2.529898804,1.373626374,0.0,1.364605544,1.8173950669999999
105.02,8.563381827760429,8.545727136,10.79812207,10.76774505,7.9287305120000005,10.03633061
105.03,6.127542295341466,6.291079812,5.146406389,2.431118314,6.926829268,5.339805825
106.0,5.205097630076372,5.122674575,4.567741935,3.1075028,6.102810838,8.049946865
107.01,6.391809255801744,6.611570248,5.323383085,7.310344828,10.47745358,10.49522944
107.02,7.765864012473228,8.180799402,8.424219631,10.15373615,12.76452805,12.89982425
201.0,9.567120366702378,10.03989362,9.594755662,10.52944676,11.27777778,7.797619048
202.0,13.559168577006371,14.46991404,5.637533106,5.006954103,6.304868316,6.9337442220000005
203.01,11.67935134918547,12.28836701,14.61852068,7.447413302999999,8.083140878,8.42985843
203.02,10.229694491703873,11.121673,12.71529889,18.07825656,19.980787699999997,23.1427285
204.0,7.6657219644390695,7.966260544,9.381947532,9.47037702,11.34883721,13.34691798
205.0,8.44882072091264,8.633733867,11.41238365,9.000414766,8.961538462,7.238508867
206.01,7.956219217709327,8.330206379,7.418397626,6.91318328,9.817444219,8.957161402
206.02,5.715102467690008,6.264916467999999,3.645833333,6.803519062,14.24164524,10.08287293
207.01,10.396470384629536,10.90909091,8.313539192,8.951965066,9.403669725,10.67761807
207.02,16.87475015943827,18.58232833,16.86349904,13.03816794,16.1700807,9.195816805
208.01,11.960643972445677,12.97679906,17.48800698,15.90062112,17.772941600000003,18.31140351
208.02,8.80361111207273,9.616997484,12.10540763,8.569477637,14.57269322,12.89218483
209.01,9.116871792630425,8.97943038,10.23405232,9.203980099999999,4.8761904760000006,4.473684211
209.02,13.753792678278403,14.71571906,11.49295775,12.36730361,11.99351702,8.866995074
301.01,4.229205727257815,3.8520020269999997,4.1137633319999996,2.087286528,3.7112353839999996,6.970912737999999
301.02,7.792988782155164,7.756563246,8.412887827999999,4.65631929,4.434993925,2.489626556
301.03,13.586350469804998,15.07268554,10.65088757,8.975521306000001,15.12770138,11.71950048
301.04,7.991010015676476,8.051420839,7.509627728,9.110947832,8.116883117,4.516129032
302.0,6.9046586624640165,6.868222149,7.03022339,8.066971081,7.84856879,6.594456833
303.0,11.971155647889647,12.5,10.74737492,8.263933376,7.165913493,9.556527171
304.0,4.819781908179479,4.36746988,5.316091954,5.454545455,4.545454545,5.612594114
305.0,7.2790064665614445,7.336287542999999,7.704199947999999,9.805950841,9.525012633,7.591553061
306.01,1.2458390964832329,0.563909774,0.6867406229999999,1.521984216,4.002106372,4.093264249
306.03,13.126382433715934,14.29980276,12.22664016,10.86587436,13.99176955,10.37527594
306.04,5.029261532307247,4.836829837,7.791509941,7.751091702999999,8.624338624,6.027667984
307.01,7.028489939492742,6.881243062999999,4.786680541,3.180542563,3.076923077,2.711157456
307.02,2.6647011837989765,2.1929824559999997,8.610271903,11.696658099999999,11.72069825,9.0
307.03,6.147313763374277,5.90121873,2.313432836,3.7735849060000004,3.487544484,2.3960535590000003
307.06,4.94677236536724,4.587155963,4.810996564,4.394012554,4.550499445,0.0
308.0,6.342130728370108,6.258381761,7.512116317,7.891491985,8.03906837,7.102272727000001
309.0,3.9167787049687086,3.51039261,9.345794393,9.760858956,9.437559581,12.26172076
310.0,7.505740306434463,7.492236025,7.108239095,8.935788056,7.8733766229999995,10.35892776
311.0,5.722274649489462,5.899326707,6.732740943,16.47058824,17.28571429,13.57098186
312.0,4.546448676075091,3.9953452289999998,7.897286822000001,7.830188679,5.718954247999999,6.986899563
313.0,2.340371437366689,1.5566290930000002,2.228786251,2.421109902,2.235649547,2.081447964
314.0,2.934882200847735,2.333427045,2.368493528,3.33707235,3.910768383,5.472222222
315.01,6.815804218621865,7.058823529,5.627962085,5.6729028360000004,9.050527485,5.305466238
315.02,2.2101586850527957,1.361256545,1.163873371,2.049910873,1.4246141669999999,1.5830115830000002
317.0,8.75021245613604,8.719052745,7.774227902000001,7.3581319579999995,5.003679176,4.512040558
318.0,6.550238700123312,6.456953642,6.0283687939999995,7.136859782,7.04467354,6.736657918
319.0,4.433648785111519,3.7583892619999997,3.948264125,4.581245526,2.123672705,1.9620253159999999
321.0,5.569058486426416,5.12692882,3.7426614480000002,4.162833486999999,2.653562654,2.98154283
401.0,4.978143644703234,4.502721425,6.179499755,4.839482511,3.7433155080000002,4.275011018
402.01,6.0811933623031,5.851619645,5.4138322,6.112253894,5.557171952000001,4.57334077
402.02,12.969437473004506,13.66104601,12.30041396,13.84793293,11.38641425,10.93005766
403.0,8.670769625995362,8.910891089,9.128065395,10.92043682,10.36639857,9.511111111
404.01,2.1266862126753625,1.6348773840000002,1.618705036,2.860347729,5.717552887,4.638218923999999
404.02,4.440143398712546,4.246284501,6.713109563,7.177974435,8.930323847,6.2518606729999995
406.0,2.9172421096197723,2.3809523809999997,2.197802198,3.055229142,4.3864519710000005,3.417366947
407.0,3.8875306121664295,3.496821072,2.21819828,3.301435407,4.7244094489999995,2.8197381669999997
