tract,percent_black_2016,percent_black_2015,percent_black_2014,percent_black_2013,percent_black_2012,percent_black_2011
101,0.36848795885232505,0.36994642,0.388636906,0.449684294,0.465039706,0.48779550299999996
102.01,0.45862250005012867,0.455803016,0.500494141,0.464598141,0.45349526100000004,0.40974889200000003
102.02,0.28351549186831543,0.28125,0.319744205,0.31591173100000003,0.342980055,0.326809453
103,0.2455306230672076,0.24288300100000002,0.276034122,0.255564716,0.25938171600000004,0.240687679
104,0.12261385765273349,0.122330872,0.130021142,0.145291862,0.147974414,0.131306734
105.01,0.27268569681310617,0.270523847,0.31062385800000003,0.293501048,0.370463079,0.39800498799999995
105.02,0.16545458053378695,0.169352476,0.133333333,0.135106383,0.133967789,0.145539906
105.03,0.07582458109287514,0.075480769,0.07989228,0.080860215,0.10343184,0.08596406
106,0.25969071163786095,0.259225374,0.28542914199999997,0.35070544200000003,0.321757322,0.250339315
107.01,0.17411120953658518,0.17654413600000002,0.15813482,0.166370784,0.16847024100000002,0.15895732199999998
107.02,0.19406805823701642,0.193879527,0.204209329,0.21594202899999998,0.213508378,0.19541337399999997
201,0.3000953960911184,0.305206463,0.282957393,0.370396939,0.35369164,0.374022346
202,0.1135950858906199,0.12209828199999999,0.04572342099999999,0.059029896,0.124197641,0.17281380100000002
203.01,0.06360790727469268,0.06437184,0.053445314,0.051213453,0.055711422999999996,0.048785684
203.02,0.13536619312735337,0.136921817,0.116749086,0.116304829,0.069741282,0.09233708300000001
204,0.15442787000661878,0.15227977,0.17536096899999998,0.15821917800000002,0.168351752,0.119365399
205,0.17084649420560544,0.17103900600000002,0.17071952,0.174222369,0.146237266,0.12388664
206.01,0.05801827088826878,0.057819905,0.051664925,0.052463987999999996,0.014123071999999999,0.067528517
206.02,0.09238311463676771,0.094091904,0.079229644,0.09816887099999999,0.096130145,0.088095238
207.01,0.01740468752494638,0.009785933,0.080824089,0.077604167,0.071580064,0.057942058
207.02,0.03456478782740517,0.034724882,0.025753157999999998,0.015355805,0.016300026999999998,0.07245386200000001
208.01,0.030565438603425383,0.028571429,0.041223404,0.010631645,0.043246227000000005,0.036823105
208.02,0.06100933430674488,0.059270112,0.074414505,0.04840711599999999,0.096502936,0.155535104
209.01,0.21506405223083316,0.215427658,0.206263714,0.15047548,0.144607843,0.113150815
209.02,0.17648394556791822,0.17593261100000002,0.186174017,0.185733216,0.183846497,0.169955157
301.01,0.20471988728641313,0.205646277,0.20016098699999998,0.18858625199999998,0.186874012,0.180975743
301.02,0.22363424873247786,0.228125,0.195872801,0.198323122,0.24147817800000002,0.175771208
301.03,0.14539119355335697,0.148274393,0.132707775,0.137043966,0.220627326,0.24242424199999998
301.04,0.12390721549550286,0.121594494,0.153470716,0.165723982,0.197765363,0.211351968
