tract,percent_bachelors_2016,percent_bachelors_2015,percent_bachelors_2014,percent_bachelors_2013,percent_bachelors_2012,percent_bachelors_2011
101.0,38.35074108039767,37.81664656,36.11348452,31.79688088,26.18294844,28.0418687
102.01,27.28672717121648,26.804308799999998,28.55858661,29.76033803,31.05221204,31.39571793
102.02,31.83286406174939,31.73527879,30.10979228,28.73497397,30.70566038,24.64628959
103.0,33.10682099051536,32.66780757,33.69241089,32.57482325,32.38906157,31.62487728
104.0,45.55557212992406,45.35014636,45.31950935,41.26470867,41.32818505,37.50141276
105.01,50.36706358618822,49.58920188,48.18666667,51.00472695,46.25595032,47.84466019
105.02,34.95847690246981,34.39553219,35.04118003,33.54427614,31.16956522,34.95235294
105.03,38.85830556004822,38.82175227,31.99663394,34.82075472,35.53367089,36.34323365
106.0,42.998935612545864,42.97690015,44.99173705,39.10652788,42.27142857,41.38335189
107.01,41.42385576737826,41.94214876,39.728,38.07174858,47.24846888,49.84405286
107.02,36.528338722792725,35.9223301,37.58299894,34.42666831,31.35020369,32.5561609
201.0,36.30347939724457,36.03953406,35.35535532,32.80017182,32.60684211,34.94077633
202.0,44.48764849747016,44.07172996,47.34920354,43.98072289,44.43756648,43.23322218
203.01,51.61094880140088,51.83008282,47.31996839,44.06660492,46.30966317,45.25719361
203.02,46.09107294914854,45.62223954,44.26334746,43.36918829,40.6767691,35.68802251
204.0,38.890334263845986,38.76221498,41.57375691,38.65555221,42.86598513,37.21845693
205.0,31.678645273276153,32.02004099,26.00486202,22.49502762,25.36875,24.91816627
206.01,31.03192470159305,30.67905331,32.61038595,29.69247432,30.40222756,27.49666828
206.02,38.84371704123903,38.38215712,40.15064634,38.53819113,38.26947123,39.53990385
207.01,40.877317227263916,40.43887147,44.16854664,40.20062026,40.47172312,36.8748499
207.02,28.48722535029593,27.98388451,25.61580537,28.14342061,26.484340000000003,28.43091476
208.01,30.537775282649832,29.93092863,33.92599725,28.41646357,26.04573805,26.64315938
208.02,39.07891141771694,37.95264624,40.11949422,41.84325926,35.10291087,29.31766595
209.01,37.26396191661293,36.68327796,35.72755454,31.06291731,25.28219345,26.51503132
209.02,27.219781056040755,26.46341463,28.96002387,21.81207039,15.38561269,18.66490838
301.01,57.88732475305213,57.42164399999999,52.23570392,53.75960396,49.07261657,49.13542822
301.02,46.61451306471699,47.14391691,44.56611661,40.10242818,47.41719188,43.14829016
301.03,43.116220828654264,42.70221419,43.32160612,38.85427848,36.54365079,41.97080474
