tract,percent_hispanic_2016,percent_hispanic_2015,percent_hispanic_2014,percent_hispanic_2013,percent_hispanic_2012,percent_hispanic_2011
101,0.11777413356923189,0.1156843643,0.10885652900000001,0.1205603788,0.1121441023,0.11262733039999999
102.01,0.27226567172698835,0.2752801217,0.2217986729,0.24753963910000001,0.2457049763,0.252437223
102.02,0.26544631561210796,0.2643229167,0.26298960829999996,0.2512582269,0.2338678138,0.21565731170000002
103,0.16253148640509138,0.1610992266,0.1551585385,0.1520197857,0.1401884609,0.1727156956
104,0.08928975108890135,0.08321692280000001,0.0959830867,0.1097145292,0.13773987210000002,0.1353177116
105.01,0.06299519981875265,0.0609851446,0.0498564344,0.0416666667,0.0533166458,0.0718204489
105.02,0.1522205170629593,0.1491356578,0.1566395664,0.1553191489,0.14397266960000002,0.1384976526
105.03,0.16812399901978262,0.1663461538,0.1678635548,0.1470967742,0.1367969495,0.1097620204
106,0.2726533202857334,0.27127172920000003,0.2633195148,0.2480564354,0.2571827057,0.2931684512
107.01,0.3911682737906716,0.38534633659999995,0.4191586417,0.44788232310000003,0.4254795868,0.364170713
107.02,0.474448214352152,0.46775130740000004,0.5032233599,0.5141304348,0.5265158058,0.5343996917
201,0.13786851830479638,0.1323416261,0.122556391,0.1068866571,0.2068403909,0.1298882682
202,0.10354259999159428,0.1006933976,0.0930455635,0.0649786455,0.1041946559,0.0752528257
203.01,0.08995864381345228,0.08868144689999999,0.0671883947,0.1207720237,0.0997995992,0.1124840222
203.02,0.18370161792118408,0.18092509210000002,0.1900666523,0.1564023039,0.1595050619,0.15792825300000002
204,0.19448149984441704,0.1932270916,0.2233348859,0.23858447489999998,0.1163884317,0.17275245530000002
205,0.2687611996728483,0.2607870211,0.3197868088,0.3165122435,0.291652974,0.28485829960000003
206.01,0.11374492997725456,0.1025276461,0.1467821413,0.18893100829999998,0.23331892199999998,0.21612167300000001
206.02,0.24621437749608602,0.24070021879999998,0.258654315,0.3087487284,0.2950456002,0.3
207.01,0.13007949168007232,0.1259938838,0.1415742208,0.1395833333,0.1288441145,0.1633366633
207.02,0.17366928971643902,0.1733690795,0.1333819242,0.1399500624,0.1856612775,0.150102529
208.01,0.3078160746344686,0.3023109244,0.3034131206,0.38524077549999997,0.39712918659999996,0.41425992780000004
208.02,0.15787450521670604,0.150106553,0.1772853186,0.16259826230000002,0.2172984517,0.26518538
209.01,0.2982407303800246,0.3011590727,0.25593457010000004,0.2711169122,0.2592787115,0.2736192436
209.02,0.11987889672874275,0.1174488568,0.1029797378,0.109319788,0.1329763498,0.1394618834
301.01,0.19978912304947188,0.19291447550000002,0.2176012879,0.2186770428,0.25092250920000003,0.2545652766
301.02,0.15075944056482377,0.1506944444,0.1366711773,0.17768461789999998,0.1226505256,0.1362467866
301.03,0.16400342914661614,0.1623348956,0.1604110813,0.1669784846,0.1430090377,0.1189674523
301.04,0.10659554249743011,0.1061084026,0.079989154,0.0839932127,0.09441340779999999,0.10125499140000001
302,0.16874353853544458,0.1661309763,0.1623056504,0.1397792958,0.1641321447,0.12214022140000001
303,0.39369805644296235,0.3890436397,0.41718596259999996,0.41282838619999995,0.4028268551,0.42995689659999997
304,0.323581302507052,0.31990881460000004,0.3306000745,0.2800309,0.32212666149999997,0.2357723577
305,0.28631316825391595,0.28490259739999996,0.2781942894,0.3134486946,0.2840961274,0.28071282129999997
306.01,0.09298070726552994,0.08421330519999999,0.1540418315,0.08614704949999999,0.0853808354,0.09967141289999999
306.03,0.08715849569866758,0.0858864892,0.0629882813,0.071596797,0.08681961310000001,0.08643560119999999
306.04,0.035386407346083046,0.0329896907,0.030732860499999997,0.0272727273,0.0189556509,0.0126715945
307.01,0.12399550662009128,0.129575828,0.049019607800000004,0.0496705525,0.0678059537,0.0359281437
307.02,0.020569871301219515,0.017158545,0.0191780822,0.014304291299999999,0.018018018,0.021364576200000002
307.03,0.08460693173541446,0.0840643275,0.0581620783,0.0614503817,0.0715055695,0.0753373313
307.06,0.07325194493421712,0.0684740078,0.0823699422,0.151542378,0.1051671733,0.1146496815
308,0.12487175719191235,0.12260536400000001,0.12349602720000001,0.15,0.1149911032,0.1108033241
309,0.1701885440379238,0.1675031368,0.1627689429,0.2101250381,0.1876823339,0.16221314050000002
310,0.13724830126650145,0.1307550645,0.14537194779999998,0.155686762,0.19446922390000002,0.2086419753
311,0.22025030986801752,0.2246119734,0.164893617,0.149243141,0.1592834665,0.2429328622
312,0.10459863656736046,0.0977681217,0.1261316872,0.1134698478,0.1381246491,0.1032950759
313,0.09956461018194597,0.09492047199999999,0.11666445710000001,0.10786276869999999,0.0964715766,0.08573132550000001
314,0.10913271894025983,0.10676574109999999,0.097338403,0.1012269939,0.1111317599,0.0688082114
315.01,0.05296826049079302,0.0454421024,0.057434402300000006,0.0569105691,0.1282121378,0.1583549988
315.02,0.08293240048953532,0.069530668,0.1673506612,0.178729038,0.1522169438,0.1595744681
317,0.12985876439340002,0.12473981560000001,0.1511111111,0.1264472882,0.1275357995,0.114172629
318,0.21312877545954495,0.21121177800000002,0.198019802,0.17249154449999998,0.2109589041,0.1998901702
319,0.13352395476762408,0.1355357899,0.09596602970000001,0.0990316901,0.0900554844,0.075
321,0.10703288635219525,0.10372223039999999,0.11452637800000001,0.10447761189999999,0.0927142649,0.12816067039999998
401,0.21431277488277145,0.2148331273,0.1813406703,0.2223858616,0.2098490473,0.2088951975
402.01,0.21060585614284316,0.2112765283,0.1727199354,0.1547807713,0.1949109415,0.18873844120000002
402.02,0.19880041405572615,0.1996765182,0.15632939769999998,0.1914612676,0.19994053809999998,0.1545935134
403,0.10366663566899316,0.1009615385,0.1031626506,0.0833005894,0.0872210953,0.1320528211
404.01,0.1990067931823519,0.1937520771,0.1914668547,0.1978537894,0.2600755668,0.1400560224
404.02,0.20486748534084354,0.2036890123,0.16379493720000002,0.1455653351,0.2315998237,0.2348615917
406,0.17268911509027898,0.16951038579999997,0.1378539493,0.1617240016,0.2390282132,0.2496171516
407,0.2220572149595932,0.21548921079999997,0.2618550552,0.24400252530000002,0.2273737695,0.1934392966
408,0.09450154414560463,0.091684435,0.0848484848,0.045866364699999995,0.08950800240000001,0.08850645359999999
409,0.06351006992997826,0.052973977699999994,0.0906515581,0.1596136155,0.1824853229,0.16980118219999998
501,0.16964647643631384,0.1696567863,0.1546134663,0.1235340109,0.1234150465,0.077027027
502,0.1885055948076858,0.1822179732,0.2173828125,0.285488959,0.2268431002,0.24000837
503,0.23029175972139063,0.23293650789999998,0.20849571320000002,0.1592256025,0.1409161491,0.0854591837
505,0.10269474358195732,0.099621007,0.10661696179999999,0.0774404304,0.0839147287,0.0776211624
506,0.0877338662655956,0.08266554200000001,0.09942004970000001,0.0834998002,0.09938434480000001,0.0811413286
507,0.05483878806731109,0.0491493384,0.0467769538,0.10013440859999999,0.127899271,0.104587156
508,0.10958685106248729,0.10935251800000001,0.0728801682,0.0607857672,0.1046770601,0.1220930233
509,0.07724309258504347,0.0763260026,0.0680722892,0.033454987799999995,0.0326583932,0.056214865700000005
510,0.19079309490661162,0.1943947525,0.1583850932,0.1341070277,0.1032171582,0.1005025126
511,0.16613214722185882,0.1671251719,0.1566186107,0.1663695781,0.10160771699999999,0.0775144138
512,0.1263458965809155,0.1271393643,0.1088348271,0.1116564417,0.074251497,0.0478110599
513,0.07769330732343394,0.0701503221,0.1114121233,0.1399267399,0.11495089119999999,0.1142270862
514,0.16616828394528235,0.1644420715,0.130174793,0.2064896755,0.21851357370000002,0.142618849
601,0.12190366267311141,0.1207476636,0.0816640986,0.1278079009,0.158222915,0.1841459137
602,0.224628502934203,0.2318007663,0.1429915334,0.131880109,0.15101193570000002,0.1555793991
603,0.056944654991428145,0.0551108374,0.04313602019999999,0.0235474006,0.041250402799999995,0.0482758621
604,0.10667743205114688,0.1036902287,0.1066699975,0.12013455070000001,0.1044022131,0.1112178717
605,0.12581092152277934,0.1256038647,0.11659919029999999,0.0769230769,0.06896551719999999,0.0642361111
608,0.05049189895566742,0.047188755,0.0433884298,0.0490277203,0.0601115472,0.047175798600000006
609,0.15355294411186768,0.15272302529999998,0.1327315774,0.16516699710000002,0.149960907,0.14808133810000002
610,0.11614357357509114,0.1116121759,0.1538461538,0.16327751199999999,0.0830961867,0.0956175299
611,0.026066750204559234,0.0221914008,0.0320855615,0.036711891499999996,0.023788546299999998,0.0191188695
612,0.052897921030638013,0.0508953817,0.045637583899999994,0.031794425099999996,0.0311653117,0.0245074483
615,0.07791264011390944,0.0743353228,0.0640129102,0.0882642998,0.11128691980000001,0.0963791267
618,0.10189639699468445,0.1000848176,0.1097345133,0.10043668119999999,0.0562851782,0.0893401015
619.01,0.1039678845037569,0.0986465383,0.119682959,0.1104327051,0.117148158,0.1197183099
619.02,0.04124193483511744,0.0358655044,0.0533992583,0.0701619121,0.0638777555,0.0533727004
620,0.04187353838238822,0.0386280386,0.0365895754,0.056480811,0.0505660377,0.0722158875
621,0.05872677815561149,0.0542420028,0.0667259786,0.0476909146,0.0615863142,0.0889987639
622,0.046298243443939596,0.0400444939,0.053565450300000005,0.08038897889999999,0.0979258756,0.0895420369
623,0.04381891361651071,0.0409683426,0.0413752914,0.046762589900000005,0.036019536,0.0339083879
624,0.057338378339165386,0.0520764667,0.052404439000000004,0.0725570509,0.10775151179999999,0.0881081081
625,0.06125946718703928,0.0585683297,0.044709389,0.0401284109,0.0719101124,0.057528409100000004
626,0.12638232955244194,0.1225722918,0.1284524331,0.16153169009999999,0.1442060086,0.1376228776
627,0.06693635715867059,0.0632867133,0.0634747914,0.0634272997,0.0772983114,0.0649350649
628,0.059296757162528635,0.052571428600000004,0.0859704641,0.0834710744,0.0817186184,0.10081897769999999
629,0.038698071879822445,0.0350960398,0.0335249042,0.0392706872,0.050420168099999996,0.08263716410000001
630,0.09865379589520794,0.0977848101,0.0942716858,0.0632061069,0.047745358099999996,0.0288267512
631,0.049861741462525117,0.04319478400000001,0.0775323051,0.062080536900000004,0.0652719665,0.0660203139
632,0.0344249608583391,0.031835206,0.026595744700000003,0.026212959900000003,0.0279003783,0.0632192727
633.01,0.07979078609018861,0.0781190747,0.0658796649,0.060380479699999996,0.0664251208,0.0587467363
633.02,0.05237923296601044,0.0507229201,0.043000477800000006,0.046039604000000005,0.031592689300000004,0.0335689046
633.03,0.07184197583299093,0.0737564322,0.0432152118,0.0047058824,0.0,0.0
634,0.0666234388813224,0.0628192033,0.0769230769,0.0734299517,0.056613484299999996,0.0498164657
701.01,0.021108044919802702,0.0190895742,0.009277833499999999,0.005325587,0.0075700227,0.012977473100000001
701.02,0.12133032089669582,0.1173041894,0.1231174699,0.1507430998,0.1421821306,0.12609075039999998
701.03,0.0631747747338493,0.057090239400000006,0.0732578916,0.1086350975,0.11027027029999999,0.10817166369999999
702,0.06745267397074163,0.06334622820000001,0.0690881382,0.0690487687,0.0788069835,0.0149178255
703,0.03991890423086577,0.036193812,0.0413833875,0.0401995305,0.041477444700000005,0.0583506996
704,0.08190868648254618,0.0787701318,0.0831395349,0.08714285710000001,0.0763358779,0.0956334563
705,0.0588644647267362,0.054191903099999994,0.0761085374,0.06673021929999999,0.0530128416,0.0512315271
706,0.10614003256583907,0.10379117460000001,0.11028219269999999,0.0511644319,0.0643717728,0.06722972969999999
707,0.15517747230807982,0.1537550344,0.1659553101,0.16771031849999998,0.1036585366,0.1099899092
710,0.06958307173593445,0.0619533528,0.0977320552,0.10940170939999999,0.1125992063,0.0808978256
711,0.0451021318296925,0.041943376399999996,0.034106412,0.0366879838,0.0569444444,0.0491858887
712,0.09896780812086116,0.0963172805,0.1071428571,0.0956480153,0.0690997567,0.0464997445
713,0.019347740156727352,0.0144050706,0.0330990041,0.0239032621,0.021920088799999998,0.0277407309
714,0.06558607337272343,0.0635509937,0.055313289,0.050150021399999994,0.0527236928,0.054860653899999993
715,0.053466898818477104,0.0499397279,0.053765324,0.049442646500000006,0.0530344451,0.0479839445
716,0.029301340087435523,0.0258103241,0.028571428599999997,0.0164512338,0.0259599784,0.0543113102
717,0.07108320815041874,0.0659703134,0.082735797,0.09529147980000001,0.0901960784,0.0911713791
718,0.04758712104554617,0.0438467207,0.0501872659,0.07521105139999999,0.055240257300000005,0.0359330339
801,0.05054555413612099,0.0483187341,0.0482199189,0.0606577723,0.0322316754,0.023235651099999997
802.01,0.008511867414813069,0.0039429784999999995,0.0080370943,0.0205024545,0.031871345,0.031536697200000005
802.02,0.028785482404612442,0.024836244500000004,0.023209736800000002,0.023572848599999998,0.046072061399999996,0.0468848332
803,0.049804764664096716,0.0473272766,0.033035714300000005,0.0571619217,0.0633965757,0.0611201487
804,0.026150314655819257,0.023550366099999998,0.0248624414,0.027746699500000003,0.009390696700000001,0.056999161799999996
810,0.08066935156911072,0.0796796525,0.0646290561,0.07246191269999999,0.060563016500000004,0.0567394779
811,0.0735227679739457,0.0703664365,0.0735575608,0.05366922230000001,0.0632034632,0.0319148936
812.01,0.08446309502034136,0.08356102,0.0738137083,0.0595473522,0.0480253535,0.040758047799999995
812.02,0.05857641544302823,0.0522462562,0.09034461349999999,0.060587515300000006,0.057161416,0.07760683759999999
813,0.04852771179275801,0.0462538226,0.044528003200000006,0.0264317181,0.0255122539,0.027882441600000002
814.01,0.024654314842888214,0.0218005652,0.0190779014,0.0245762712,0.0207006369,0.011613936699999999
814.02,0.050098223240649706,0.046658259800000004,0.0476190476,0.0346267191,0.049854085599999994,0.0483511034
814.03,0.07570939576151584,0.0722826817,0.07481439179999999,0.0635131152,0.0749080882,0.0783174938
815,0.03362423648222348,0.030330466299999997,0.0322727273,0.0243088656,0.028718703999999998,0.0203423468
816,0.04899178288319345,0.04435844,0.052565313200000005,0.0785819793,0.0736215539,0.06973959889999999
817,0.07063185695325877,0.0528756957,0.1702245633,0.1792248062,0.20226214239999998,0.1791044776
818,0.04389488641702728,0.0412286689,0.0356570513,0.0513599337,0.044636214800000004,0.029490196099999998
819,0.0325666994225066,0.027671755699999998,0.0321180556,0.023901310699999997,0.05867560769999999,0.05645785
901,0.10898729572111988,0.10747091240000001,0.1094420601,0.08456117869999999,0.0657646318,0.0859741784
902,0.09746050933276083,0.098862125,0.0711832657,0.06254936030000001,0.0421559771,0.0397350993
903,0.034795942237318966,0.0325018896,0.0332075472,0.0181691125,0.0080704329,0.016161616200000003
1001,0.10390956788928474,0.09517502369999999,0.1332509707,0.1703122391,0.17684563760000002,0.152933311
1002,0.12198262085274285,0.1159713574,0.12990158970000001,0.1654328018,0.1754312743,0.17747198179999998
1003,0.0850284027500106,0.0772955214,0.129208824,0.1320663553,0.1025896414,0.10928
1004,0.11682783965258114,0.1130349559,0.12884043609999998,0.0949003715,0.09917355369999999,0.1066623959
1005,0.12226685923743415,0.1264019939,0.0591543832,0.1631150717,0.1039052836,0.18019093079999998
1006,0.17359579912385917,0.1722926829,0.1657784545,0.1478331308,0.14614401359999998,0.12097669259999999
1007,0.13270727763678716,0.1332497911,0.11581385550000001,0.1198724761,0.08551068880000001,0.10908686960000001
1101,0.21681593417445183,0.2164451827,0.2053013676,0.2024028033,0.1836197825,0.15917083099999998
1102,0.19903368730886495,0.2062193126,0.1140205502,0.1189077083,0.1331575478,0.1454911163
1103,0.1983142202324977,0.1961194598,0.18535942789999998,0.19717514120000001,0.20730442,0.1726690676
1104,0.25000556877600594,0.25185185190000003,0.18833070510000002,0.2270806929,0.2675474814,0.2577428935
1105.01,0.24825638376791645,0.2519083969,0.22217428820000001,0.2476741782,0.1669047133,0.2795319055
1105.02,0.2535476643022986,0.25096418730000003,0.2641250686,0.2336719884,0.2244309997,0.19988479260000003
1201,0.03839916917108417,0.0339473684,0.0433258202,0.054383735700000005,0.0522956052,0.0630672562
1202,0.10102191582389937,0.0976401819,0.11028119509999999,0.0779938135,0.0788049871,0.07163255589999999
1203,0.1074102083212444,0.1038285804,0.1128014242,0.0885920467,0.09825949369999999,0.1064737243
1204,0.26734288809784335,0.2628711523,0.2623867874,0.2861349036,0.3178553104,0.3204787234
1301,0.09514029149255483,0.088218224,0.1254362156,0.0985526102,0.1116294568,0.0907118911
1302,0.16410947161832332,0.1580246914,0.19274092620000002,0.1784313725,0.1746532156,0.10660980810000001
1303,0.2073112187638803,0.2050319189,0.2022813688,0.2076624098,0.2039381153,0.17533252719999998
1401,0.5235208673707499,0.5157836948,0.567541064,0.5726326227,0.5737704918,0.5796006476
1402,0.48670221238114847,0.4788403865,0.5019508058,0.50966989,0.584724799,0.6210226373
1403.01,0.6120603617003079,0.603645461,0.6684861718,0.689667762,0.6665407855,0.6509433962
1403.02,0.40483411284614745,0.400886194,0.4244186047,0.4346312813,0.41071018159999995,0.5047619047999999
1404,0.2748298327981553,0.2723049597,0.2733092124,0.317408466,0.2860685631,0.2812781278
1405,0.4822268649080392,0.47633272060000004,0.49890803200000006,0.508138712,0.5378736795,0.528649726
1406.01,0.597597629649263,0.5906472382,0.633209835,0.6613933678,0.6572059286999999,0.5811138015
1406.02,0.6581745833703158,0.6508588499,0.6970074812999999,0.7000350018000001,0.7175268445,0.7052386078
1407.01,0.47796987562528814,0.4723694171,0.506918239,0.47778745640000003,0.4968253968,0.46257359130000003
1407.02,0.6696961667037145,0.6730895915999999,0.6397952655,0.6405971118,0.6236966825,0.6312849161999999
1408,0.34197776528678536,0.3323317308,0.3968650298,0.3937401368,0.39795654420000004,0.4228945007
1502,0.26788481204397063,0.2631013169,0.2710650812,0.306670175,0.3146557251,0.2800101407
1503,0.36981621874536424,0.3751506387,0.32234918949999997,0.3045461023,0.2863222777,0.24182692309999998
1504.01,0.2228398601427842,0.21550855989999998,0.28511966699999997,0.23218884120000002,0.197412447,0.1844097996
1504.02,0.420171946063294,0.4118131868,0.4760487145,0.5115321252,0.4643905041,0.3105320304
1505.01,0.2936560151973181,0.2917839775,0.29121025920000004,0.3400305188,0.2957435047,0.1918819188
1505.02,0.4151692628746603,0.41186440679999997,0.40233100229999996,0.4477452447,0.4713811696,0.43045331270000003
1506,0.41087436309150327,0.4092898833,0.41184074460000003,0.36196961759999996,0.38328767119999996,0.41582450090000006
1507,0.4625834981392223,0.4647148787,0.4317247349,0.4391677974,0.4306897326,0.39471106759999997
1508,0.58176568082965,0.5859201774,0.5296275913,0.5421252371999999,0.5535213899,0.5329588015
1510.01,0.5545010733199323,0.5385913117,0.6733648542,0.7087980173,0.6590563166,0.6944837341
1510.02,0.6125083325854871,0.6065416065,0.6473852721,0.6758045292,0.6544132101,0.6472748357
1511,0.5323175766990244,0.5371839823,0.5041736227,0.5272128607,0.4494837012,0.48094558789999997
1512,0.3750435244730701,0.3744704886,0.3467391304,0.3301937567,0.38126540670000003,0.3111171811
1601,0.2603137413404935,0.2576208178,0.28674790559999996,0.21033994329999997,0.195480226,0.2514498757
1602,0.24733436703074335,0.2412746586,0.2891156463,0.2257378357,0.22854954030000002,0.2405673
1603,0.24336269486190923,0.2406290957,0.2409079185,0.2480702688,0.24811834929999999,0.2459718026
1604,0.4694214452750481,0.47055370770000005,0.44440078590000004,0.4872348782,0.45838965049999997,0.4701961531
1605.01,0.6977300976469889,0.6974161862,0.704313028,0.6943606405,0.6665907538,0.6264571718
1605.02,0.6825126110005252,0.6824722812,0.6661558669,0.6257882148,0.6740878169,0.6541095889999999
1606.01,0.6027628172703648,0.6089436459,0.5968992248,0.5578078078,0.4448839662,0.3804831532
1606.02,0.4554619936180536,0.4501259446,0.48179764,0.5095250190999999,0.4869655892,0.4926778243
1607,0.35898453258665197,0.346813329,0.41311584549999997,0.4862448418,0.4895390373,0.5007230658
1608,0.5535334286804527,0.5487985213000001,0.5714550854,0.5937170936999999,0.5922005571,0.5740037951
1609,0.24555726592084795,0.2411912752,0.25748239440000004,0.2596192791,0.258805513,0.24341021420000003
1610,0.3604213391217567,0.3652729384,0.3366164542,0.2690124858,0.2338108883,0.21487603309999997
1611,0.21486158167185693,0.216258468,0.1929911155,0.17471783300000002,0.1583148559,0.13226094730000001
1612,0.5973517194552278,0.6041963015999999,0.5131381381,0.5200141693,0.5664808917,0.6302263138
1613,0.6382111230568286,0.6407170294,0.6345422267,0.5934443563,0.5536692222999999,0.5068382944
1701,0.11449566697624305,0.11099195710000001,0.1186531267,0.1185729276,0.1128205128,0.1550539745
1702,0.40482244854729754,0.4102256361,0.3804397618,0.32233250620000004,0.27369791670000004,0.2723449001
1703,0.29966371388045665,0.3052119246,0.2586417243,0.2114511352,0.18821442649999998,0.1558935361
1704,0.10989930424142777,0.0963086317,0.20430107530000002,0.1784176534,0.1585333685,0.16643665470000002
1705,0.19879317485048703,0.19523355579999999,0.2011047463,0.2015322409,0.207522975,0.2259143156
1706,0.2111982429290253,0.2122072392,0.18565248739999998,0.18568313949999998,0.1732729332,0.1257739938
1707,0.22943116755455933,0.2289073306,0.19886965739999998,0.17058404559999998,0.22463768120000002,0.172883555
1708,0.2387637326103304,0.237615894,0.22106666670000003,0.2640237325,0.2455418381,0.21428571429999999
1709,0.313882053512665,0.3163678427,0.2810873337,0.2040229885,0.2443148688,0.2063854048
1710,0.31110067745346015,0.313655489,0.295886275,0.2701211306,0.22497155859999998,0.2469951923
1711,0.36435061890032633,0.3588263588,0.37867042520000005,0.41793012520000006,0.4159231297,0.3841847446
1801,0.555925493647069,0.5629104736,0.5081108483,0.44337705520000004,0.44012716350000003,0.4894014963
1901,0.8258694025212692,0.8365714286,0.7205882353,0.8244103331999999,0.7936802973999999,0.7932075472
1902,0.8047221906468979,0.8082632803,0.7896030909999999,0.7439547247,0.7286757384999999,0.7175957018000001
1903,0.6329727488803408,0.6286511628,0.6567493113,0.6358483189999999,0.6476841306000001,0.6509367268
1904.01,0.5841040495528375,0.5817167797999999,0.6053071958,0.5986314299000001,0.5639163916,0.539658526
1904.02,0.7466173089515956,0.7543453070999999,0.6869883670999999,0.6901289368000001,0.6672107733,0.6764983929
1906.01,0.8033466679940718,0.7989350373,0.837136278,0.781618887,0.8064371926999999,0.7836244045999999
1906.02,0.783936995476561,0.7859771806999999,0.7810066477,0.7492722686,0.7207569962,0.6766902119
1907.01,0.7616285706865018,0.7564575645999999,0.798828125,0.7614343213,0.7764906303,0.7737089201999999
1907.02,0.8063572629464667,0.8081595648000001,0.7884086444,0.7911842373000001,0.7836153161,0.7296761401
1908,0.8395752433275654,0.8373645942,0.8542363029000001,0.8377046805,0.8423383525,0.8669179472
1909,0.8695615352023017,0.8771060456,0.8406652361,0.8231197772,0.7467948718,0.7247942387
1910,0.9202755354062385,0.9183078045,0.925887625,0.9182608696,0.9411764706,0.9444006309
1911,0.9093124488401338,0.9117569353,0.9143145161,0.875810078,0.8321234120000001,0.7937258806999999
1912,0.925466631705869,0.9283718567,0.8991194968999999,0.9005410976999999,0.9022687609000001,0.8954473265999999
1913.01,0.8794805252773964,0.8849744583,0.8394209729000001,0.8522060056999999,0.8257462064,0.8123523456
1913.02,0.8902337450464259,0.886430139,0.9076257862,0.9370156964,0.9370801612,0.8888436482
2001,0.777791399906052,0.7739267428000001,0.7786226373999999,0.8344442055,0.8520553968000001,0.8184255423000001
2002,0.8716325752877901,0.8687435098999999,0.8822463768000001,0.909852859,0.9091236928,0.8735784685
2003,0.9179151514606572,0.9145477282,0.925031237,0.9054235769,0.9614703277,0.8392475417
2004.01,0.9319933133232285,0.9324554987,0.9470372313,0.9537742807999999,0.8926258096999999,0.9034866094
