tract,percent_pub_trans_2016,percent_pub_trans_2015,percent_pub_trans_2014,percent_pub_trans_2013,percent_pub_trans_2012,percent_pub_trans_2011
101.0,39.02783242956557,38.76279484,31.53237075,38.65800866,40.84272007,43.88586957
102.01,33.64330898143294,33.30249769,30.79096045,29.98220641,32.2710396,30.50295858
102.02,42.91201565379778,42.75862069,43.81301558,48.24335904,49.38488576,44.28571429
103.0,42.07838342034916,42.33425414,46.127601500000004,44.35146444,40.83137781,38.84375
104.0,45.63539278340624,45.91593973,40.80168776,36.29133529,33.77192982,31.80124224
105.01,50.50781635765241,51.19595216,54.25824176,52.60215054,45.54371002,49.8052791
105.02,49.2061011396633,49.02548726,54.56442358,49.68614196,52.33853007,47.13896458
105.03,36.18555525462863,35.8685446,33.89529725,35.89951378,38.14634146,35.9223301
106.0,45.23451537373429,45.4569965,46.52903226,45.52071669,43.02355027,40.51540914
107.01,28.5944507144658,28.19640253,26.41791045,27.08045977,29.0893015,27.39663789
107.02,37.126829087696386,37.69144565,38.20985333,34.680014299999996,27.14141753,32.72407733
201.0,24.571817165058327,24.1356383,20.67938021,18.73884593,20.77777778,18.095238100000003
202.0,13.344297135796491,13.18051576,15.05864548,12.89986092,9.696727852999999,8.513097072
203.01,12.727366178912352,12.23375205,10.42516016,11.59749858,12.12471132,10.23166023
203.02,21.392440592162615,21.15019011,19.70618034,13.76919267,13.16042267,12.38181
204.0,21.38218721779476,21.13402062,20.98710538,18.13285458,17.34883721,15.8430973
205.0,15.545841001355452,14.775255900000001,15.0951032,18.33264206,22.23076923,22.29460731
206.01,16.984664152297345,16.96060038,23.10830861,23.35209003,18.74239351,23.88576374
206.02,23.62710322882698,23.62768496,26.21527778,19.64809384,16.40102828,15.46961326
207.01,8.617707926351454,7.792207792,5.106888361,4.694323144,8.486238532,5.441478439
207.02,10.87310197561896,10.31257691,13.21065641,20.18320611,20.57728119,17.41795889
208.01,17.46793771720092,16.75186787,12.03663323,10.80745342,14.94377947,17.14181287
208.02,21.39475864872115,21.0232038,24.89706286,21.74803687,22.13142663,19.9087279
209.01,25.476477625175015,25.07911392,16.42955484,14.09618574,16.19047619,19.27631579
209.02,32.04572680043999,32.55295429,28.84507042,25.42462845,17.99027553,20.85385878
301.01,60.484549299950345,61.32792701,52.61554088,56.26185958,49.51703101,47.29187563
301.02,49.02687342313401,49.10501193,52.08830549,56.98447894,56.31834751,64.78956728
301.03,49.102764184708,49.04361132,54.94505495,55.84768812,56.77799607,49.37560038
301.04,49.16597719669334,49.05277402,40.50064185,36.29684056,39.04220779,34.11290323
302.0,37.37714374801071,37.39730529,41.81997372,38.44748858,36.90366267,36.12615483
303.0,23.922541177750425,22.9638009,26.49783817,25.04804612,32.47256294,25.92129919
304.0,38.39149345606689,38.40361446,33.11781609,31.51515152,30.75757576,25.39356605
305.0,42.58036628969162,42.41752831,39.70626127,35.88615783,37.74633653,37.26276397
306.01,53.62553405636996,53.52443609,46.01162176,45.03945885,48.13059505,48.86010363
306.03,54.29133521195412,54.73372781,58.94632207,53.3106961,49.79423868,46.28403238
306.04,52.484393565965945,52.97202797,51.26276196,48.0349345,43.96825397,49.45652174
307.01,69.89976410947442,71.03218646,64.82830385,69.78484565,61.02564103,64.02502607
307.02,36.76586474647151,37.57309942,39.57703927,40.48843188,29.80049875,17.625
307.03,47.1598458706013,47.46632457,49.02985075,50.94339623,47.61565836,44.82029598
307.06,49.17446170010385,50.21728634,52.18458517,54.22501207,42.78579356,53.62068966
308.0,28.302361723288186,27.93920429,29.52342488,30.16851624,31.5176559,37.60653409
309.0,34.016041850829026,34.08775982,30.51401869,25.42703758,23.35557674,24.31736218
310.0,35.60851324231963,35.36490683,32.55250404,32.15087562,33.64448052,35.2567015
311.0,45.919808999118516,46.26482847,46.787423100000005,39.575163399999994,36.14285714,36.05378361
312.0,45.24893990451221,44.99612102,42.68410853,43.30188679,46.36437908,43.27113934
313.0,49.320107200400905,49.43639291,48.25456498,43.14472252,42.87009063,45.15837104
314.0,43.31028890892273,43.46359292,41.8892867,43.7745373,41.77912421,42.75
315.01,48.09097803728946,48.03921569,44.84597156,42.48642124,43.92004442,41.05037513
315.02,50.831392038036824,50.94240838,51.72253259,52.18360071,51.80055402,52.8957529
317.0,40.89739138610906,40.87728741,44.11608094,42.65544393,42.11429973,45.39923954
318.0,47.79838993872999,48.09602649,46.9858156,45.92779177,43.12714777,35.17060367
319.0,42.947667825721766,43.08724832,41.25255276,39.94273443,38.22610868,36.83544304
321.0,45.364655055904315,45.17172723,42.17221135,46.98712052,49.21375921,49.52673923
401.0,22.528549310366373,22.26620485,24.42373713,26.35361763,25.52260574,24.19568092
402.01,36.032120347858864,35.91954023,34.86394558,33.14722304,33.16846087,38.81762409
402.02,18.82840704879602,18.31951986,19.33767002,14.94651633,16.73162584,17.57332665
403.0,18.917427196072627,18.28382838,20.50408719,16.53666147,19.66041108,20.53333333
404.01,35.506898422617155,35.64032698,40.64748201,41.16657319,37.79302459,35.12677798
404.02,46.574335109376676,47.28541098,45.21849272,41.95345788,34.41282303,40.27984519
