tract,percent_high_school_2016,percent_high_school_2015,percent_high_school_2014,percent_high_school_2013,percent_high_school_2012,percent_high_school_2011
101.0,92.31920910724726,92.24969843,94.39711922,86.63810164,83.90504834,83.22236448
102.01,78.30973079544486,77.10951526,79.87624464,80.89464789,83.66381028,82.48646631
102.02,84.3984740236905,83.94997394,82.12586548,83.78121155,83.01198113,77.79447964
103.0,77.03033518603503,75.98402738,75.78010732,76.5717989,79.36485356,81.96966425
104.0,98.9984685041426,99.45958118,98.18242991,96.64102321,95.12626335,93.06114905
105.01,92.2064882705216,92.04812207,93.51333333,92.91009982,90.00912767,88.17799353
105.02,85.80987419213061,85.67674113,80.63585477,82.71674920000001,82.53695652,81.21682353
105.03,82.33920453340671,81.52064451,83.27798036,81.98207547,83.40962025,86.76887988
106.0,86.06609627053261,85.52533532,86.73441058,87.00396965,85.25714286,88.76391982
107.01,78.74115478352662,77.82369146,77.83796552,74.89421598,79.93174185,82.14700102
107.02,76.14312279255316,75.1246392,76.22312566,73.18042354,67.59376947,70.30068737
201.0,86.58820437294513,86.33956936,84.76586195,83.11893471,80.48831579,84.85472713
202.0,89.52553143360137,89.43037975,88.13256637,85.237751,84.66111466,85.28065861
203.01,91.37280975379922,91.26369223,90.8,90.50497486,90.86979569,90.28667851
203.02,85.42103685075715,85.19095869,82.78122352,78.07266703,78.0275444,76.74426581
204.0,86.46623081772914,85.81581285,89.07182320000001,86.6614204,87.12091078,87.93784503
205.0,77.18848030200778,76.38351173,74.32628121,71.51469613,72.640625,73.51790981
206.01,82.13677556959514,81.75182482,78.26068951,75.27795891,75.73714785,79.13399324
206.02,83.66534775341168,83.05592543,85.05913159,79.1705802,75.90518789,78.95120192
207.01,88.16572983334589,87.61755486,89.6868402,90.40661613,93.30324006,95.16370914
207.02,75.63154954341294,74.41665268,75.63525168,76.45912955,77.29682394,77.79707431
208.01,76.57906577580096,75.05755948,82.52674003,76.86785066,78.44365904,78.72670428
208.02,81.82829497832121,81.19777159,81.61850611,76.42222222,74.55843428,76.75412206
209.01,85.38375995199833,85.10520487,84.36383467,77.6713662,74.24609184,74.41461378
209.02,87.74638030390216,87.16463415,91.57267303,88.22227109999999,83.89655361,85.49278179
301.01,94.79882271362817,95.29863986,89.58142235,90.6049505,88.96914167,89.73659889
301.02,92.82348442236125,92.76706231,93.14664466,91.68570451,91.47461485,94.82967185
301.03,89.85336071809022,89.6068685,89.45181644,88.45205063,91.57783447,91.65720524
301.04,95.54903901262036,95.66755084,95.84265616,94.24240189,94.63752934,97.17206551
302.0,94.77743194905831,94.76135041,95.69604186,95.86589862,95.96878099,94.23703231
303.0,82.36028497651675,81.61452298,82.18557214,84.83915298,81.9071993,85.01779169
304.0,87.85912840142034,87.64678253,86.69779614,87.60085147,80.62230483,82.53135135
305.0,86.68247395164063,86.29343629,85.75653696,83.85912464,86.79237493,87.49764728
306.01,93.59445753808751,93.80787037,90.860235,91.65497981,90.51481481,90.25275371
306.03,94.34069526782727,94.20289855,96.22957993,95.89383938,97.66907589,96.10358786
306.04,95.7099293589292,95.88014981,94.92772384,95.07374302,96.31687715,96.97988827
307.01,85.59636016263904,84.55445545,92.0695138,92.04959016,90.01236429,91.51875382
307.02,98.18991346572741,98.5042735,97.64944812,99.12614108,98.24602273,94.09090247
307.03,94.36974564518187,94.62843296,92.18140127,89.58301111,90.6105223,91.66709652
307.06,90.80127061588983,90.52664381,91.69174283,93.72307692,91.14925373,89.10450539
308.0,93.2458284965208,93.36283186,91.31836951,91.07464395,91.9641952,91.86329114
309.0,91.5041686751365,91.49237859,90.38366702,88.01741453,88.33384447,89.34431946
310.0,94.14219210372538,94.33323067,93.19812964,90.15807229,88.23654096,88.07254374
311.0,87.8743864178571,87.10751665,93.417979,91.43425783,88.76926816,89.86249062
312.0,78.56640774556155,77.37885463,80.53590511,82.96666667,81.5455408,80.6842848
313.0,89.54606175620958,89.49393312,87.54230769,85.83963813,84.13457199999999,84.45351351
314.0,95.27600135368915,95.38397847,95.44048338,95.76611282,93.55248325,94.69591346
315.01,85.90172170920216,85.47611414,85.92430556,85.86733002,79.40534351,73.88490879
315.02,92.95400545808884,93.07897072,90.73063842,90.10660636,91.37744399,87.41170535
317.0,92.15568445852041,92.20253165,90.60074874,89.01765317,89.60143214,89.77592975
318.0,87.69732238973839,87.21311475,88.24544855,90.04168798,90.33731629,89.64899806
319.0,88.07386714589765,87.34733757,91.80082685,90.71126482,95.55303251,98.06294088
321.0,94.2321296842383,94.52824134,91.46533666,90.86551779,89.03875103,89.34905149
401.0,85.51926459164658,84.84848485,87.28653611,85.78893455,86.89788628,88.21962486
402.01,89.85599460348506,89.99616711,86.1304262,84.71626694,80.46446432,82.79427890000001
402.02,81.2922050105834,80.58339298,79.77798065,79.08719167,81.40484140000001,82.7223142
403.0,89.08929616848194,88.62275449,91.04900487,90.82212766,90.98705824,93.1651593
404.01,88.61251780535108,88.41166937,88.36589922,87.06971356,80.6214143,84.67387164
404.02,95.886733213294,96.26901141,95.42441532,87.30532396,84.49817803,83.45184909
