tract,percent_percent_walked_2016,percent_percent_walked_2015,percent_percent_walked_2014,percent_percent_walked_2013,percent_percent_walked_2012,percent_percent_walked_2011
101.0,20.685561072028392,21.31731197,20.353982300000002,14.06926407,11.34751773,11.1865942
102.01,12.991297871424068,13.22849214,12.24105461,10.20166074,9.251237624,8.076923077
102.02,14.315991153144177,13.20197044,22.82309808,16.70951157,17.04745167,21.875
103.0,10.767058621904305,10.98066298,9.075400887,12.029288699999999,11.16325846,11.09375
104.0,25.121968543730993,25.61459159,25.69620253,25.82670573,24.72089314,23.97515528
105.01,15.109090515233385,15.63937443,11.53846154,11.1827957,13.944562900000001,9.389874512999999
105.02,17.808192182974793,18.69065467,13.98017736,15.0651859,13.40757238,11.0808356
105.03,21.64672006977991,21.50234742,25.90949423,24.23014587,22.53658537,22.23300971
106.0,15.743227890191402,16.09598274,12.8516129,13.94176932,18.23246391,16.17959617
107.01,18.571093580043318,19.54302382,15.223880599999998,16.45977011,12.20159151,10.63153112
107.02,18.277371563860513,18.45349272,19.21775103,17.94780122,17.06415855,13.91915641
201.0,5.937634989456931,5.585106382999999,7.985697259,9.280190362999999,5.222222222,8.988095238
202.0,10.633430639211937,9.885386818999999,14.56678017,12.23922114,14.96408619,13.13559322
203.01,9.279852754425965,9.229929001,9.085614443999999,8.129619102000001,7.967667436,8.301158301000001
203.02,8.535725174193315,8.840304182999999,6.129685917000001,8.122833086,6.1479346779999995,8.509680324
204.0,9.899038850939602,9.981255857999999,8.626056025,9.33572711,9.76744186,8.711156393
205.0,22.783815229384395,22.96395194,25.29340348,22.89506429,21.11538462,15.96091205
206.01,20.744853721614355,21.08818011,21.43916914,16.03697749,15.69979716,11.03418434
206.02,21.138468432619632,21.24105012,21.875,20.99706745,24.2159383,15.10128913
207.01,7.40306578177269,7.272727272999999,8.194774347000001,6.659388646,3.899082569,6.36550308
207.02,12.31379626325511,12.60152597,10.73880802,7.694656489,7.945375543,5.625676163
208.01,6.603065209119005,6.96028313,2.2241604880000003,3.80952381,5.223068553,4.312865497
208.02,16.424937540116808,17.24909142,13.06615427,9.354728576,7.7630234929999995,9.26982316
209.01,16.318064593283527,15.9414557,18.81597063,23.79767828,25.79047619,19.24342105
209.02,8.053285209111074,7.525083612,11.32394366,10.93418259,8.806050783,12.31527094
301.01,13.451288915451,12.51900659,19.70543423,15.13282732,17.43772242,13.74122367
301.02,10.06315080438265,10.56085919,7.219570406,4.21286031,2.369380316,5.038529935
301.03,17.60798664390095,18.05661821,17.58241758,14.68721668,11.29666012,8.261287224
301.04,24.18944365260174,24.01894452,30.03851091,30.56576047,26.05519481,30.32258065
302.0,14.996329048039378,15.149523499999999,14.58607096,14.94672755,15.48168667,14.17648933
303.0,12.782249533341147,12.66968326,14.20630019,18.96220372,16.33311814,12.74203623
304.0,17.354535406532918,17.2439759,21.3362069,18.18181818,13.78787879,16.35865845
305.0,15.124535358952876,14.94337765,17.88198918,17.54204398,15.58868115,11.76156108
306.01,7.398406129525681,7.04887218,8.188061278,11.61217587,11.69036335,17.20207254
306.03,13.263147433392302,12.82051282,15.60636183,17.82682513,20.0,22.73730684
306.04,9.364141837056637,9.207459207000001,8.543793659,12.22707424,14.70899471,13.38932806
307.01,7.640416901116921,6.326304107,15.29656608,15.341440599999999,15.17948718,14.181439000000001
307.02,8.277234625043317,7.748538012000001,10.42296073,7.197943445,9.351620947999999,13.125
307.03,19.40215927751948,19.75625401,17.6119403,14.64150943,19.64412811,19.23890063
307.06,6.5279949340631545,6.422018349,5.154639175,6.953162722999999,8.435072142000001,7.0689655170000005
308.0,21.0122560893995,21.32320072,22.09208401,23.55117139,20.96168295,19.46022727
309.0,25.763897204104005,26.42032333,24.53271028,21.27867252,23.73689228,20.91705307
310.0,18.300891994257668,18.20652174,22.33441034,18.23080377,14.36688312,12.76692413
311.0,18.71976718497549,19.01250401,17.97676008,15.849673199999998,18.21428571,18.85553471
312.0,11.414452343346019,10.70597362,15.21317829,14.90566038,17.27941176,16.11750695
313.0,17.891592830103995,18.22329576,17.45435016,18.49836779,17.67371601,12.91101056
314.0,14.18536539887925,13.97244869,16.60699532,13.85305665,13.46736436,15.5
315.01,18.911679519794397,18.62745098,23.63744076,22.9933615,20.2665186,21.22186495
315.02,21.97539038988281,22.30366492,22.57914339,18.31550802,19.15314602,16.94980695
317.0,20.210963201987916,20.47900969,20.79339723,21.77572631,20.99583027,15.56400507
318.0,7.922434549545466,7.781456953999999,8.156028369,5.541561712999999,5.326460481,7.961504812
319.0,12.249006986466135,12.14765101,13.95507148,11.52469578,9.494066209,10.37974684
321.0,17.201256038946603,16.99850672,19.9853229,17.45630175,18.05896806,18.24420256
401.0,11.483646885689211,11.67738743,9.514467876,8.960229995,10.84103063,12.20802115
402.01,15.657491045582447,15.804597699999999,16.52494331,14.25213047,12.42362525,10.42944785
402.02,9.14869630026517,9.145470134,8.249556475,11.65076612,11.30289532,17.9242918
403.0,7.945614183343432,7.98679868,6.948228883,11.07644306,9.025915996,9.866666667
404.01,11.646031924771354,12.31607629,6.714628297000001,6.169377454,7.60434534,10.63698207
404.02,7.784731136717508,7.249014255,9.848005066,9.537856441,10.86032058,10.38999702
406.0,15.355757333417591,15.09872242,18.27646038,18.09635723,17.26818434,11.8767507
407.0,15.522532639135301,15.98546776,14.57673155,13.97129187,10.74571561,10.12084592
408.0,17.626036394379298,17.75878443,17.14015152,13.95348837,18.13246471,14.50892857
409.0,21.42450408251927,22.13997308,21.04890149,21.4335421,15.88107324,17.70992366
