tract,percent_vehicle_carpool_2016,percent_vehicle_carpool_2015,percent_vehicle_carpool_2014,percent_vehicle_carpool_2013,percent_vehicle_carpool_2012,percent_vehicle_carpool_2011
813,,0,1.631543168,3.175157013,3.348291336,2.978003384
814.01,,2.511210762,3.645401823,4.717853839,7.167530225,6.540447504
814.02,,0,0.651590648,2.331606218,2.532207908,3.671328671
814.03,,1.33963751,1.420630019,2.641344685,1.380538855,1.722338205
815,,1.046176046,2.169981917,1.4781966,1.183219792,1.428571429
816,,0,0.460405157,0.451263538,1.031894934,4.103273398
817,,0,0,0,0,0
818,,2.069752282,2.304526749,2.029234738,2.254214813,2.747693542
819,,8.695652174,9.606299213,6.957928803,4.293381038,3.861788618
901,,4.838709677,6.757594544,7.431133889,10.22657685,9.060213844
902,,6.922024624,5.72621533,5.868263473,3.924297245,3.652547575
903,,3.761755486,3.833865815,1.671732523,1.526717557,2.035928144
1001,,11.56542056,11.16054876,10.47651234,12.26728723,6.9533087
1002,,8.232158721,7.293837452,10.67323481,10.24734982,9.547158927
1003,,4.223433243,3.722426471,3.41442595,2.747513027,7.547169811
1004,,4.743589744,4.12999323,3.887399464,3.601108033,6.987788331
1005,,5.691056911,6.235912847,6.153235411,6.641431521,3.892113349
1006,,14.46106636,12.71154569,12.1695342,8.751229105,7.228315055
1007,,12.2761031,18.55059253,17.85870996,12.03744984,12.16466235
1101,,5.245659402,4.575645756,4.191616766,5.878057685,6.966121051
1102,,10.86812459,10.40502793,12.36044657,17.32673267,17.82820097
1103,,14.15863603,12.45913549,8.759661391,7.679180887,11.02484472
1104,,13.77935312,13.78043179,11.68201648,9.103139013,6.790697674
1105.01,,13.79451494,14.7918512,13.40879408,13.30316742,15.68807339
1105.02,,8.599167822,7.081403044,9.386733417,10.99618944,10.46242775
1201,,12.40666284,11.37493098,8.004574042,8.021390374,7.319641917
1202,,9.619789281,8.055290753,11.12224449,9.722222222,12.05523101
1203,,5.408128989,7.827586207,10,11.57289003,11.29458388
1204,,4.921700224,6.097560976,10.56268509,11.24885216,12.01361868
1301,,13.79310345,14.97531541,14.94822152,12.74774775,9.749303621
1302,,6.557377049,2.576112412,2.888888889,2.752293578,6.766917293
1303,,11.12929624,11.49914821,10.38905515,14.82635797,16.10796691
1401,,7.776497696,9.422657952,11.72069825,20.52601487,22.10526316
1402,,9.242902208,8.577599506,10.40070713,8.151305274,9.32509016
1403.01,,2.706270627,4.301745636,5.526315789,3.374432187,2.429667519
1403.02,,11.89358372,9.456148947,4.328132864,6.11419909,13.89891697
1404,,10.20352782,12.5,11.42943305,9.99344692,8.517241379
1405,,16.44736842,18.68308351,16.20795107,16.83962264,13.44026549
1406.01,,14.42824252,14.56603774,9.406270847,11.69837914,7.960893855
1406.02,,9.861267342,7.720724049,12.92691884,17.0327553,19.62127317
1407.01,,6.536856745,2.197802198,4.772727273,7.927225471,9.852216749
1407.02,,8.870184526,8.120805369,7.062937063,13.01438608,10.69537593
1408,,7.858443924,7.745398773,9.310260785,9.276574803,8.723864456
1502,,17.9656539,16.07843137,14.26415094,15.61615642,12.21881391
1503,,9.258416742,9.11105639,10.3843009,10,10.5015674
1504.01,,8.651399491,7.314856883,8.622222222,9.01383311,9.392033543
1504.02,,4.886831276,7.33012306,11.99294533,13.89195149,17.65060241
1505.01,,5.517603783,7.06300813,3.213429257,4.794163627,7.754010695
1505.02,,13.78795421,9.868796349,10.3219697,14.95820502,14.2668428
1506,,9.738219895,12.11453744,12.25626741,12.66447368,8.84244373
1507,,12.65270506,12.21837088,11.29186603,9.335996006,9.081419624
1508,,13.86271871,9.655172414,11.31486539,11.66134185,11.17363344
1510.01,,19.18047079,16.06217617,11.53846154,14.28571429,16.97013838
1510.02,,11.51346332,11.71171171,19.05891657,19.15708812,16.94979237
1511,,11.80057389,15.80110497,15.9209996,17.30601569,16.53863534
1512,,14.92957746,14.56102784,15.34246575,17.87280702,21.53243848
1601,,7.674050633,9.076305221,6.597774245,5.993150685,4.636363636
1602,,3.854748603,4.751847941,12.5273523,16.93722944,17.8111588
1603,,4.56950457,6.806806807,7.154384077,6.609485368,9.340659341
1604,,9.036624204,10.20563595,9.52732644,11.32841328,12.32779936
1605.01,,10.21594684,8.211009174,12.60300533,15.76113558,18.10795125
1605.02,,10.50096339,11.11603189,10.65088757,9.911429776,12.33062331
1606.01,,8.340461933,9.786821705,10.54187192,15.52365763,12.90726817
1606.02,,5.522001726,7.505617978,9.266227658,6.71641791,6.615776081
1607,,9.919383106,10.85649887,7.19851577,7.008884501,8.815520762
1608,,11.88023181,11.20772947,8.111615834,8.056222146,5.682229461
1609,,10.22979985,11.55015198,10.33925687,11.26865672,12.40487062
1610,,5.650857719,5.528612997,6.073752711,5.120167189,2.383531961
1611,,4.453049371,5.480682839,9.91810737,9.688888889,15.44050863
1612,,15.98540146,15.74074074,16.63851351,13.84863124,10.4797048
1613,,9.861591696,9.769484083,14.76355248,12.05357143,11.88630491
1701,,6.90647482,9.848484848,8.662613982,7.045735476,9.944751381
1702,,9.6,12.65141319,13.67226061,15.85792896,15.43824701
1703,,9.666283084,8.408408408,12.15715345,16.52703732,14.9005425
1704,,11.93568336,13.02113078,14.91374513,11.69212691,11.24567474
1705,,4.427533725,8.653846154,10.79525009,9.549745824,11.92766449
1706,,13.476874,10.92503987,10.85395052,10.30253475,8.306962025
1707,,5.505279035,4.508856683,5.572755418,5.671843349,7.572936065
1708,,12.81120332,14.15830546,8.367228356,11.82375906,11.77149452
1709,,9.978308026,10.26785714,10.89108911,9.003601441,14.51068616
1710,,7.269458002,4.95951417,5.845181675,8.083511777,8.079954955
1711,,9.40285205,9.773434029,8.090474119,10.43024772,12.30269266
1801,,12.64705882,15.23588554,13.51904957,13.55648536,15.92980088
1901,,14.31079895,21.72318973,23.49683544,26.65627436,25.69204152
1902,,11.7671346,15.58712913,11.45038168,11.88609162,16.50817801
1903,,5.663134819,7.443609023,10.44290939,11.76,19.55350269
1904.01,,9.460278957,12.67166042,11.2745098,11.4619883,11.04100946
1904.02,,12.95612956,18.4371808,13.60647446,12.86876907,11.12123974
1906.01,,14.59816887,18.24668705,17.28723404,17.60339343,18.19541376
1906.02,,23.59675037,22.35841082,22.34607219,22.32957595,14.71674877
1907.01,,20.74592075,20.06498781,20.75149445,27.50642674,27.20247295
1907.02,,22.70127585,24.25176056,19.7461213,15.67648527,12.62748907
1908,,14.04538341,15.19744715,20,19.27927928,18.20521068
1909,,5.789473684,8.156424581,9.435797665,7.177497575,16.06096131
1910,,12.8113879,15.3909465,17.34693878,15.56650246,10.84745763
1911,,16.8227216,16.36245111,20.831901,26.52853261,24.12106389
1912,,17.97966963,20.61211743,25.38517975,23.07167235,23.08845577
1913.01,,8.249419055,11.2504751,11.12877583,10.30844156,11.08058608
1913.02,,16.1589404,16.47429171,19.17234154,22.34042553,17.77408638
2001,,4.312553373,11.35411819,10.4691358,11.60042965,14.5332588
2002,,8.916001877,14.05478222,14.97418244,21.21332276,21.25546285
2003,,10.9919571,10.11743451,11.2716763,12.43469175,10.49107143
2004.01,,13.4870317,13.50832266,14.88862837,17.07602339,25.66811684
2004.02,,15.87078652,15.51546392,15.5695478,14.69920545,17.34072022
2101,,9.410288582,8.700764256,8.169291339,9.475982533,9.476309227
2104,,10.86956522,12.19346049,14.44839858,17.54057428,21.04591837
2105.01,,17.17077711,12.10251542,11.46282974,13.79153391,14.36858545
2105.02,,10.84681256,12.35741445,8.256029685,14.3207856,23.01801802
2106.01,,7.687379885,5.495169082,7.310267857,6.967882417,10.18998273
2106.02,,9.757194245,9.986000933,12.3752495,16.04609929,18.85404568
2107,,14.07342657,11.57024793,14.4012945,12.97798378,10.81750619
2108,,4.12044374,1.289134438,1.413427562,2.073365231,5.902777778
2109,,17.48704663,14.25149701,9.335038363,8.86945659,5.161734343
2203,,6.962864721,5.151320026,5.610795455,3.041825095,3.887688985
2204,,6.194690265,6.491002571,8.35443038,8.049311095,5.100463679
2205,,2.597402597,4.997060553,4.186602871,4.810996564,5.516014235
2206.01,,5.454545455,5.988700565,6.787878788,6.751054852,11.4379085
2206.02,,2.649507949,3.467987805,5.933815139,7.486437613,8.277562522
2207.01,,9.661538462,6.997607656,6.496062992,6.756756757,8.044382802
2207.02,,5.274488698,11.59496327,9.959555106,8.375751967,10.19588147
2209.01,,4.508856683,3.724696356,12.67006803,9.517144857,7.599431818
2209.02,,5.492424242,5.528846154,2.716225876,2.633311389,1.154891304
2210,,14.45003595,18.57996019,16.88672689,13.5975136,14.14868106
2211,,3.564277133,3.379900856,4.564666103,8.126036484,5.715411904
2212,,6.563500534,6.900517539,6.898734177,6.258890469,8.646112601
2213,,2.771362587,7.057416268,7.760814249,8.552188552,11.08949416
2214,,5.655526992,8.347725964,5.287474333,6.752954418,5.15942029
2215,,2.781371281,2.469959947,4.98132005,12,10.04260499
2216,,10.59811123,8.946830266,9.171907757,12.40389544,11.24352332
2222,,4.943502825,7.051762941,11.71102662,11.06161841,10.93514329
2225,,6.878306878,3.968253968,11.28640777,8.281829419,7.167630058
2226,,4.089581305,5.108695652,5.676855895,6.073752711,2.235294118
2227,,6.486880466,6.825153374,9.108159393,4.504504505,3.777148253
2228,,1,0,0,0,0
2229,,3.820224719,2.689486553,5.263157895,6.50994575,13.29588015
2301,,8.661417323,5.867014342,6.852791878,4.166666667,3.736920777
2302,,21.69811321,15.18833536,15.03267974,15.97014925,13.78340366
2303,,14.76190476,10.20408163,17.0678337,18.62527716,15.04178273
2304,,17.36896197,14.20059583,15.22198732,9.80980981,9.409190372
2305,,17.29270021,15.68767908,10.88560886,13.34503951,17.93635487
2306,,9.479117785,8.497053045,9.739368999,15.42531543,10.44354839
2307,,13.05987742,16.62310507,13.12721744,13.19899244,14.15633937
2308,,10.43643264,7.112970711,3.953488372,4.683195592,4.466501241
2309,,9.170105456,12.76915373,10.38026721,9.190809191,9.864603482
2311,,9.743589744,7.56097561,1.234567901,0,0
2312,,13.54401806,8.232118758,4.795050271,1.291638341,7.367758186
2315,,5.129589633,5.420219245,8.713692946,9.752198241,7.896678967
2402,,3.5,4.685835996,4.139228598,3.792784459,4.518072289
2403,,2.455357143,3.354978355,3.169398907,2.52293578,2.780867631
2405,,7.798440312,5.460951262,6.517909571,6.603773585,5.062537225
2406,,5.580357143,4.347826087,6.30952381,5.692108668,4.761904762
2407,,7.894736842,14.01617251,24.65314835,10.60419236,14.68624833
2408,,17.32484076,13.9869281,10.38575668,5.595408895,6.042654028
2409,,12.37288136,12.80701754,9.871244635,4.896907216,10.33519553
2410,,9.119830329,11.40250855,7.262569832,7.470119522,8.691099476
2411,,3.919330289,3.569928601,4.764005293,3.891233005,4.41314554
2412,,6.753006475,3.849597135,2.247191011,2.444794953,1.649928264
2413,,4.166666667,5.143853531,6.937394247,5.660377358,5.840071878
2414,,4.924717691,6.730769231,8.962415676,10.03378378,10.48300537
2415,,3.185840708,4.431512981,4.010349288,4.226020893,4.095045501
2416,,1.89107413,3.239656518,4.707278481,3.391768293,5.664568678
2420,,10.3505291,8.158085569,2.540516864,2.69726248,2.27358848
2421,,6.664083688,3.857320614,4.557761733,7.529118136,6.040546132
2422,,8.470588235,7.128712871,5.904059041,2.684563758,1.811320755
2423,,6.926036768,4.921700224,3.6400818,3.003802281,3.18576748
2424,,6.461538462,7.900101937,9.650924025,7.188894398,7.401574803
2425,,7.028469751,7.752653438,6.25,5.609643023,4.019607843
2426,,9.356543363,10.65011434,10.50794882,9.332847248,7.657095298
2427,,9.89010989,11.61616162,10.05509642,7.591240876,5.524861878
2428,,6.293706294,5.470737913,7.287933094,6.036446469,5.304740406
2429,,3.758020165,2.622377622,1.697530864,3.758290346,3.042763158
2430,,9.852216749,6.855636124,8.477970628,4.523646333,5.300353357
2431,,5.954692557,6.002728513,6.267409471,2.910737387,6.540795684
2432,,10.4336895,8.787684413,10.7922645,11.64294955,15.3024911
2433,,3.368794326,3.969270166,3.011292346,6.114130435,4.206896552
2434,,4.04040404,5.424769703,5.359056806,5.113362277,5.369484317
2435,,4.052098408,4.372093023,4.12371134,1.242521859,3.259871442
2502,,13.15280464,17.26251277,16.3963964,13.94230769,14.04805915
2503,,4.216216216,8.959227468,8.628081458,6.282722513,6.226912929
2504,,6.339468303,6.759348035,9.161624892,7.599517491,13.29503488
2505,,9.34691432,7.129798903,12.55707763,12.58568687,13.27811916
2506,,1.963048499,1.678060907,3.209876543,5.446118192,7.20188902
2507,,4.376731302,4.126984127,2.447552448,2.832369942,4.744525547
2508,,3.68608799,3.490990991,3.043968433,1.531100478,2.713567839
2510,,2.578796562,4.076086957,2.891566265,5.571030641,5.524861878
2511,,8.987052551,11.19162641,10.20080321,12.78735632,13.76757957
2512,,12.45033113,8.609794629,6.115965052,5.66967954,5.344129555
2513,,18.4943687,14.93670886,10.10033445,6.192959583,4.996876952
2514,,6.259204713,5.979543666,7.074721781,7.011795544,5.865272938
2515,,8.132780083,6.937394247,9.21386306,7.65171504,10.9263658
2516,,6.610800745,7.15648855,8.531317495,8.515057113,9.85915493
2517,,7.586206897,7.294832827,2.121212121,0,4.437400951
2518,,9.170305677,5.564516129,6.465899026,8.044030483,5.501858736
2519,,3.141361257,5.107187894,4.655380895,5.727923628,7.887874837
2520,,7.443509083,6.414762742,6.972111554,7.870619946,5.680600214
2521.01,,1.907790143,1.277955272,1.398601399,1.147227533,5.726872247
2521.02,,3.994154895,4.721030043,4.482132041,5.555555556,4.384384384
2522.01,,5.236270754,5.050505051,9.483793517,7.57381258,9.974747475
2522.02,,4.531722054,2.329075883,5.306122449,7.024169184,12.1350365
2601,,0,0,0,0,0
2602,,0,0,0,0,6.624605678
2603,,3.189493433,5.594405594,2.739726027,0,0
2604,,29.30107527,32.8611898,23.7388724,19.47674419,15.61461794
2605,,1.70575693,1.895734597,4.651162791,6.345177665,4.672897196
2606,,2.801724138,3.292894281,6.676342525,5.585831063,4.892086331
2607,,1.871101871,1.727115717,1.675977654,0.664451827,0.482315113
2608,,0.637958533,0.934579439,0,0,0
2609,,1.763224181,1.608579088,1.628664495,1.459854015,1.369863014
2610,,6.441223833,4.685212299,5.294117647,7.133243607,11.37309293
2705,,1.091703057,1.438848921,0,0,0
2712,,4.929577465,5.647840532,3.211009174,3.174603175,2.977667494
2713,,4.575163399,5.882352941,8.196721311,1.62601626,0
2714,,8.288770053,8.73015873,5.747126437,4.370179949,2.07253886
2715,,7.126436782,8.970976253,4.645476773,1.262626263,1.030927835
2718,,2.822580645,2.033898305,4.524886878,0,0
2801,,3.517411185,3.882626588,4.792719919,5.386156243,2.317880795
2804,,3.672316384,3.16091954,5.177111717,2.222222222,1.129943503
2808,,10.90225564,20.39215686,21.66666667,26.79738562,35.09933775
2809,,9.124087591,11.94029851,7.291666667,3.333333333,0
2819,,1.769636759,2.222948676,2.379261364,1.554770318,2.075326672
2827,,8.034321373,9.504132231,10.66350711,5.399408284,6.209386282
2828,,7.807118255,9.684439608,10.4978355,8.501594049,8.038976857
2831,,3.477588872,2.662721893,3.888888889,7.884151247,7.974910394
2832,,5.548996458,3.196930946,2.31884058,2.53968254,5.653710247
2838,,9.429700734,11.00362757,11.34273452,12.49226964,12.05862758
2909,,4.952581665,6.243272336,4.508196721,8.449396472,8.265802269
2912,,9.090909091,5.323193916,1.923076923,5.609284333,7.007575758
2916,,5.778894472,4.178272981,8.860759494,12.5,19.0023753
2922,,9.530201342,5.610098177,6.196840826,5.106382979,3.333333333
2924,,10.07326007,8.932461874,13.07506053,11.63310962,8.559498956
2925,,9.940652819,7.068452381,6.69527897,6.287170773,7.170393215
3005,,19.49152542,18.34024896,19.75806452,29.45425361,35.58052434
3006,,12.02672606,16.7309175,18.55345912,19.48955916,21.85491276
3007,,32.65765766,33.65591398,32.86180631,32.52480706,25.9579061
3008,,20.07434944,18.33865815,17.00268817,25.95573441,24.44581281
3009,,14.86563751,14.27728614,10.48714479,11.9425548,17.49460043
3011,,21.44955926,22.13804714,26.3618677,30.31809145,32.05964585
3012,,14.26415094,22.02989772,27.57552285,24.48979592,19.31385006
3016,,30,30.1369863,29.11306703,28.16245007,22.9787234
3017.01,,39.38746439,33.89212828,35.3223594,31.5958816,32.55340793
3017.02,,31.68195719,28.99408284,28.8372093,32.4845679,23.7630662
3018.01,,20.31144211,22.23938224,21.58385093,21.68330956,22.55689424
3018.02,,17.93154762,17.11409396,22.44710212,28.13021703,34.15046492
3018.03,,20.79922966,25.88555858,26.73969072,22.75622467,23.57528494
3102,,10.70304302,13.03370787,10.47619048,4.583835947,2.987012987
3103,,5.714285714,5.022321429,6.955645161,6.596558317,6.098964327
3104,,15.24590164,9.623430962,12.20285261,17.5,11.3452188
3105,,10.44776119,7.26172466,8.291873964,16.12903226,19.03171953
3106,,11.43106457,12.5994695,13.97361913,13.15577078,14.91969569
3107,,4.319371728,9.318497914,13.4375,11.13989637,14.81481481
3108,,15.93591906,16.77646025,19.98231653,20.34768866,19.03251388
3109,,14.260009,13.47549909,16.5154265,19.47551099,19.54652072
3201,,2.020624303,2.397974382,0.156519017,1.092715232,1.179379874
3204,,3.303303303,3.761242845,1.382978723,1.778907243,0
3206,,2.13459828,0.680713128,2.785419532,2.60374288,3.946227233
3301,,7.271193589,6.445859873,7.504537205,7.832545577,5.730244104
3302,,5.480116392,5.168210629,7.730560579,7.172799255,6.221408966
3403,,21.03746398,20.02989537,22.69503546,29.78971963,25.95837897
3404,,20.44728435,28.13299233,37.05408516,37.71186441,40.51020408
3405,,9.516837482,5.823863636,5.844155844,7.191780822,4.560810811
3406,,10.85714286,7.602339181,6.074766355,4.761904762,4.489795918
3501,,4.798464491,4.466727438,3.168316832,7.000946074,2.666666667
3504,,4.90797546,6.08365019,6.557377049,19.87951807,13.70967742
3510,,5.432692308,3.384768542,8.115619789,14.57627119,13.25869181
3511,,7.107843137,12.34939759,8.963585434,8.944954128,9.821428571
3514,,11.05769231,14.96062992,13.71681416,23.59813084,14.7505423
3515,,19.30693069,16.58291457,15.17241379,13.95348837,24.32432432
3602,,0.67264574,0.43956044,1.269035533,0,0
3801,,5.34351145,6.43776824,6.334841629,4.290822408,3.841676368
3802,,5.845511482,6.401766004,5.759162304,4.952830189,4.481132075
3805,,3.070175439,3.212851406,3.135888502,3.317535545,4.166666667
3807,,6.699751861,8.108108108,3.324099723,6.02189781,12.57861635
3812,,10.17964072,13.78476421,12.5819135,15.69620253,21.55963303
3814,,11.19631902,8.779761905,5.339805825,7.407407407,6.920415225
3815,,25.45454545,22.93577982,24.13793103,0,0
