GEO.id,GEO.id2,GEO.display-label,,,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,0,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",101,101,0,6.342494715,5203,688,4368,638,33,42,39,40,433,262,330,230
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",102.01,102.01,0,22.3929099,6770,750,4235,692,16,26,44,50,959,295,1516,492
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",102.02,102.02,0,17.68833087,2708,562,2034,412,42,66,16,19,137,87,479,267
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",103,103,0,15.04297994,6282,837,4601,790,5,10,87,84,644,205,945,296
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",104,104,0,13.74287524,4737,686,3563,565,6,11,63,61,454,167,651,288
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",105.01,105.01,0,16.73316708,4010,374,2714,400,36,51,56,72,533,250,671,333
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",105.02,105.02,0,19.27490871,3834,624,2799,489,6,17,59,65,231,112,739,634
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",105.03,105.03,0,6.750849927,2059,314,1533,315,16,27,24,38,347,132,139,83
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",106,106,0,20.66053386,6631,724,4514,600,8,13,22,28,717,225,1370,543
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",107.01,107.01,0,22.02913366,3913,398,2788,327,19,31,15,23,229,137,862,278
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",107.02,107.02,0,33.78300251,5189,796,2769,484,47,57,0,89,620,257,1753,449
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",201,201,0,11.81564246,3580,441,2505,357,17,23,41,55,594,217,423,239
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",202,202,0,10.32123736,6724,516,4368,454,57,64,130,134,1475,353,694,361
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",203.01,203.01,0,6.625479335,4694,479,3269,483,0,89,117,94,997,217,311,148
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",203.02,203.02,0,28.12566334,4711,741,2648,515,3,7,16,27,719,327,1325,529
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",204,204,0,12.94384286,3971,400,2747,330,0,89,11,17,699,186,514,185
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",205,205,0,24.37246964,6175,665,3018,482,3,6,138,93,1511,327,1505,440
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",206.01,206.01,0,22.06844106,6575,926,4018,820,0,89,76,74,1030,234,1451,458
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",206.02,206.02,0,27.54761905,4200,538,2193,328,18,29,34,32,798,225,1157,379
