WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_TYPE
3,17,The Shelby Luxury Apartments,2300,S,Michigan,,,,Ave
3,18,Dearborn Homes,2731,S,Dearborn,,,,St
3,19,Glessner House Museum,1800,S,Prairie,,,,Ave
3,20,Cal Met Village,4101,S,Calumet,,,,Ave
3,21,Lake Vista Apartments,1440,S,Indiana,,,,Ave
3,22,Old St Marys Church,1500,S,Michigan,,,,Ave
3,23,The Pershing,3845,S,State,,,,St
3,24,Willa Rawls Manor Apts,4120,S,Indiana,,,,Ave
3,25,Soka Gakkai International USA,1455,S,Wabash,,,,Ave
3,26,South Loop School,1212,S,Plymouth,,,,Ct
3,27,Glessner House Museum,1800,S,Prairie,,,,Ave
3,28,Minnie Riperton Apartments,4250,S,Princeton,,,,Ave
3,29,T E Brown Apts,3601,S,Wells,,,,St
3,30,Luther Terrace,4747,S,King,,,,Dr
3,31,Liberty Baptist Church,4849,S,Martin,Luther,King,Jr,DR
3,32,Sky Fifty Five Apartments,1251,S,Michigan,,,,Ave
3,33,Old St Marys Church,1500,S,Michigan,,,,Ave
3,34,Old St Marys Church,1500,S,Michigan,,,,Ave
3,35,Apostolic Faith Church,3823,S,Indiana,,,,Ave
3,36,Sherwood Park,5701,S,Shields,,,,Ave
3,37,Greater Bethesda Msnry Baptist Ch,109,E,53rd,,,,St
3,38,Pioneer Village,340,E,38th,,,,St
3,39,Soka Gakkai International USA,1455,S,Wabash,,,,Ave
3,40,Long Grove House,2001,S,Michigan,,,,Ave
3,41,Lincoln Perry Sr Bldg,3245,S,Prairie,,,,Ave
4,1,Hyde Park Club,5480,S,Kenwood,,,,Ave
4,2,Columbia College Chicago,1104,S,Wabash,,,,Ave
4,3,Mary Jane Richardson Apts,4930,S,Langley,,,,Ave
4,4,Lake Parc Apts,3939,S,Lake,Park,,,Ave
4,5,Kennicott Park,4434,S,Lake,Park,,,Ave
4,6,Cambridge Manor Apts,2631,S,Indiana,,,,Ave
