GEO.id,GEO.id2,GEO.display-label,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031242700,17031242700,"Census Tract 2427, Cook County, Illinois",2427,8.437146093,1766,203,1269,196,152,95,24,25,172,63,149,89
1400000US17031242800,17031242800,"Census Tract 2428, Cook County, Illinois",2428,12.35294118,1360,162,1028,136,5,8,23,18,136,79,168,113
1400000US17031242900,17031242900,"Census Tract 2429, Cook County, Illinois",2429,4.891304348,1656,160,1343,158,27,29,62,67,143,52,81,62
1400000US17031243000,17031243000,"Census Tract 2430, Cook County, Illinois",2430,9.223300971,2472,223,1926,210,127,80,18,29,173,82,228,138
1400000US17031243100,17031243100,"Census Tract 2431, Cook County, Illinois",2431,11.99699135,2659,335,1740,219,116,119,26,31,458,229,319,203
1400000US17031243200,17031243200,"Census Tract 2432, Cook County, Illinois",2432,18.02041722,2253,245,1704,212,6,10,26,25,111,53,406,228
1400000US17031243300,17031243300,"Census Tract 2433, Cook County, Illinois",2433,9.601969635,2437,230,1962,228,101,64,0,11,140,56,234,110
1400000US17031243400,17031243400,"Census Tract 2434, Cook County, Illinois",2434,9.592326139,2919,383,2260,347,17,18,80,65,282,114,280,144
1400000US17031243500,17031243500,"Census Tract 2435, Cook County, Illinois",2435,7.532894737,3040,248,2620,246,0,11,54,42,137,69,229,95
1400000US17031250200,17031250200,"Census Tract 2502, Cook County, Illinois",2502,8.251748252,2860,331,2352,308,120,82,23,25,129,70,236,135
1400000US17031250300,17031250300,"Census Tract 2503, Cook County, Illinois",2503,7.464553795,4796,462,4230,492,40,37,0,11,168,100,358,179
1400000US17031250400,17031250400,"Census Tract 2504, Cook County, Illinois",2504,6.35553026,5271,782,4807,663,32,36,0,15,97,89,335,247
1400000US17031250500,17031250500,"Census Tract 2505, Cook County, Illinois",2505,5.090527421,7622,512,6710,487,122,105,0,15,402,166,388,207
1400000US17031250600,17031250600,"Census Tract 2506, Cook County, Illinois",2506,0,4370,443,4285,435,33,25,25,43,27,27,0,11
1400000US17031250700,17031250700,"Census Tract 2507, Cook County, Illinois",2507,1.756272401,5580,712,5420,695,44,57,0,15,18,28,98,140
