,Latitude,Longitude
922722,41.806775593000005,-87.63451433899998
922783,41.936011688,-87.75297142299999
922794,41.890793685,-87.750556605
922796,41.778821299,-87.654483974
922798,41.970281428,-87.657654526
922801,41.896337729,-87.74584146
922805,41.925238814000004,-87.725575085
922806,41.909736709,-87.776453593
922814,41.776389306999995,-87.687226505
922817,41.925693181,-87.634680615
922818,41.691488355,-87.70603937799999
922828,41.943094852,-87.649362556
922830,41.720806344,-87.65768834
922833,41.857655989,-87.68584017200001
922838,41.979904722,-87.809917721
922839,41.786122032,-87.711358512
922841,41.824637861999996,-87.631329965
922843,41.911910115,-87.70920932799999
922844,41.921715143,-87.668606344
922847,41.786966991,-87.649040897
922848,41.853151249,-87.67162919399998
922849,41.877039505,-87.729311002
922851,41.864033702,-87.71779213299999
922853,41.771978272,-87.681713242
922854,41.751305337,-87.603628907
922856,41.890824988,-87.63018336200001
922857,41.883149046,-87.764958956
922858,41.877589506999996,-87.74272313600002
922859,41.886238659,-87.66546337700001
922860,41.748754086999995,-87.711074375
922861,41.72852756,-87.662150113
922862,41.924690124,-87.633096763
922863,41.899437358,-87.767984516
922864,41.904922274,-87.66892016
922865,41.719056274,-87.615282916
922867,41.752346393,-87.65205472
922868,41.890034160999996,-87.63010389200001
922869,41.785353844,-87.60971096
922871,41.932211459,-87.68437738700001
922873,41.921541159,-87.669365089
922874,41.886179873,-87.624523664
922875,41.931980314,-87.711538479
922878,41.674394121,-87.61644938799999
922879,41.815746485,-87.607930921
922882,41.809860998000005,-87.64556572299999
922883,41.885635134,-87.649182539
922884,41.953926487,-87.70711581399998
922886,41.893244681,-87.63006500200001
922888,41.903168666,-87.67846717399998
922889,41.857298741,-87.63021670200001
922890,41.785918935,-87.687482838
922891,41.856820101,-87.694368438
922893,41.861574065999996,-87.695025949
922896,41.915729239,-87.691139464
922898,41.853912713,-87.681454863
922899,41.901713987,-87.667451031
922900,41.888519671,-87.64282025
922902,41.903176939,-87.677993219
922904,41.890032024,-87.630203077
922905,41.884335316,-87.658153224
922907,41.852860198,-87.62468244200001
922908,41.736747393,-87.659441174
922909,41.805819806,-87.662462691
922910,41.947252263,-87.65350869
922912,41.778868505,-87.67389658100002
922913,41.895002821999995,-87.62145470600002
922914,41.929642701,-87.752499967
922916,41.764792409,-87.67522836299999
922917,41.9399019,-87.654671048
922918,41.929045887,-87.75386877
922920,41.921715143,-87.668606344
922922,41.873760261,-87.699795456
922923,41.944953005,-87.649416212
922924,41.863311568,-87.727523894
922925,41.841758978,-87.718387335
922926,41.853930752,-87.623841071
