GEO.id,GEO.id2,GEO.display-label,,,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,0,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",101,101,0,9.141971722,5163,685,4295,632,10,17,64,61,322,200,472,299
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",102.01,102.01,0,22.34893365,6752,889,4438,768,24,38,73,71,708,208,1509,481
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",102.02,102.02,0,16.34728197,2557,386,1956,371,0,11,20,25,163,122,418,230
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",103,103,0,20.46619276,6049,729,4256,599,0,16,76,60,479,180,1238,506
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",104,104,0,10.59701493,4690,560,3584,449,6,11,55,59,548,178,497,228
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",105.01,105.01,0,15.36921151,3995,414,2878,483,31,46,56,67,416,209,614,269
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",105.02,105.02,0,18.91166423,4098,711,3049,565,6,17,46,53,222,118,775,683
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",105.03,105.03,0,11.43946616,2098,438,1454,418,15,24,23,36,366,110,240,128
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",106,106,0,17.72663877,7170,738,5026,532,56,68,21,29,796,272,1271,562
