tract,percent_disability_2016,percent_disability_2015,percent_disability_2014,percent_disability_2013,percent_disability_2012
1407.01,,7.1,4.2,4.3,3.3
1407.02,,7.7,8.1,9.5,8.7
1408,,10.2,8.9,6.8,6.6
1502,,8.2,11.7,11.2,12.2
1503,,10,12.4,13.2,13.6
1504.01,,11.3,9.9,10.1,10.3
1504.02,,8.1,9.1,10.7,10.3
1505.01,,7.5,8,8.8,8.5
1505.02,,11,12.8,11.8,10.2
1506,,9.5,8.9,7.1,7.2
1507,,7.4,9.3,9.5,8.7
1508,,9.8,7.6,9.2,8.5
1510.01,,12.2,12.3,13.8,12.3
1510.02,,8.3,8.6,8,7.3
1511,,11.1,9.7,10,12.3
1512,,7.5,11.2,10.5,10.5
1601,,8.6,7.6,8.1,9.3
1602,,10.5,10.8,8.6,7.7
1603,,11,10.9,12.7,11.6
1604,,12.2,11.9,9.3,9.4
1605.01,,10.9,11.3,13.2,9.7
1605.02,,7.1,8.5,9.9,9.2
1606.01,,8,7.3,6.2,10.1
1606.02,,7.5,8.4,8.2,9.4
1607,,17.5,16.6,18.5,18.6
1608,,6.6,6.7,5.9,6.2
1609,,4.5,5.2,10.2,10.9
1610,,9.7,8.6,7.8,7.4
1611,,8.7,9.7,12.1,12.9
1612,,6.9,8,10.3,11.1
1613,,8.4,7.9,11.8,11
1701,,23.1,19.5,23,22.3
1702,,10,10.1,10.9,12.8
1703,,9.6,7.7,8.4,8.6
1704,,10.1,9.5,10.1,11.3
1705,,6.6,7.5,8,8.9
1706,,12.3,13.5,12,10.4
1707,,6.7,7.3,7.4,6.5
1708,,9.6,8.6,9.5,10.3
1709,,13.8,13.6,12.4,10.2
1710,,8.1,9.2,10.7,10.6
1711,,8.5,7.1,7.5,6.7
1801,,9.6,8.5,8.7,12.1
1901,,13.2,14.4,9.5,12.9
1902,,9.1,10.6,8.8,8.9
1903,,13,12.4,11.7,10.1
1904.01,,8,6.9,7.2,7.9
1904.02,,6.9,8.1,9.5,11.3
1906.01,,7.1,8.8,10.8,10.8
1906.02,,6.9,8.1,12,12.9
1907.01,,5.7,7.5,7.4,11.5
1907.02,,6.5,5.5,9.1,8.2
1908,,10.8,10.8,9.9,9.5
1909,,10.5,9.3,10.1,11
1910,,10.5,10.2,9.8,8.9
1911,,9.3,10,10.5,13.5
1912,,7.7,7.4,11.1,10.7
1913.01,,10.2,13,8.7,9.7
1913.02,,7.6,7.1,7.4,12.7
2001,,11.6,9.8,10.9,9.7
2002,,18.5,16.9,15.5,14.3
2003,,6.5,6,7.7,9.8
2004.01,,12.7,14.7,11.6,11.5
2004.02,,8.9,12,13.9,18.1
2101,,10.6,10.5,9.9,8.3
2104,,9.6,7.3,7.1,5.8
2105.01,,5.9,5.5,7,9.4
2105.02,,6,6.2,6.4,6.5
2106.01,,7,7.1,12.3,10.6
2106.02,,9.6,8.7,8,5.2
2107,,12.4,11.5,9.4,6.4
2108,,5.8,5.3,5.9,5.2
2109,,13.5,13.4,13,10.4
2203,,4.2,4.3,3.3,4.1
2204,,4.7,6.5,6.6,10.9
2205,,5.6,5.8,6.2,5.9
2206.01,,11.4,12.1,11.5,11.4
2206.02,,7.3,7.2,7.5,4.6
2207.01,,11.1,10.5,11.3,11.1
2207.02,,7.5,6.8,6.8,4.6
2209.01,,11.8,14.5,12.8,6.2
2209.02,,7.6,6,4,4.5
2210,,8.2,8.6,7.3,8.5
2211,,8.4,10.2,8.7,8.7
2212,,4.7,6.4,5.4,5.5
2213,,5.9,5.5,5.1,8.8
2214,,3.7,6.2,5.1,3.9
2215,,10.9,11.2,12.2,10.4
2216,,4.2,6.4,6,6.5
2222,,2.2,1.6,2.9,2.4
2225,,11.7,10.3,9.9,9.2
2226,,8.2,9,7.5,8.6
2227,,6,4.9,6.6,4.6
2228,,6.2,6.5,6.3,10.6
2229,,7,7.5,6.2,3.9
2301,,7.5,9.2,9.1,9.3
2302,,13.6,15.2,13.5,10.5
2303,,11.3,12.1,17.5,17.7
2304,,10.7,9.4,8.4,9.4
2305,,18.8,17.1,17.3,13.9
2306,,13.6,15.9,17.2,12.9
2307,,13.6,17.2,14.4,19.4
2308,,12.6,12.6,10.6,9.1
2309,,17.4,17,18,14.9
2311,,14,15.9,20.6,18.2
2312,,14.6,14.7,21.2,19.9
2315,,18.1,17,23.4,27.2
2402,,9.3,11.2,9.2,8.8
2403,,2.5,2.8,2,1.7
2405,,3.7,3.9,4.9,3.9
2406,,2.1,3.7,5.8,6.1
2407,,6.7,8.8,11.2,11.3
2408,,4.9,4.3,3,4
2409,,13.3,15.8,17.2,17.3
2410,,12.3,12,15,14.2
2411,,8.1,15,9.2,9.6
2412,,12.9,10.5,8.9,12
2413,,2.8,2.7,4.8,5.1
2414,,9.1,7,9.8,10.6
2415,,1.3,1.7,1.6,4.5
2416,,3.3,4,5.7,5.1
2420,,12.6,12.7,16.1,15.7
2421,,2.6,2.2,2.4,2.6
2422,,2.8,3.2,2,2.3
2423,,4.6,3.5,3.6,3.7
2424,,8.1,9.2,9.5,9.8
2425,,6,8,10.5,10.3
2426,,10,8.4,12.3,9.9
2427,,13.9,15.5,15.6,10.4
2428,,8.2,4.8,4.4,4
2429,,4.9,4.5,4.4,4.8
2430,,6,3.6,5.3,7.2
2431,,6.9,5.7,5.7,3.8
2432,,1.6,1.4,1.6,1
2433,,5.8,4.4,3.5,4.9
2434,,10.7,9.2,11.3,9.3
2435,,4,3.9,3.2,3.5
2502,,12.2,11.6,10.4,10.4
2503,,15.3,15.6,16.3,13
2504,,16,14.7,10.8,12.9
2505,,8.5,9.5,9,10.7
2506,,21,21.9,20.1,17
2507,,17.9,16.7,14.5,13.9
2508,,18.2,16.2,13.9,11.2
2510,,14.3,15,13.1,12.5
2511,,16.2,16.7,17.6,16.2
2512,,19.6,25.1,25.5,21.4
2513,,18.5,19.5,17.5,16.2
2514,,19.4,19.1,18.3,19.3
2515,,21.9,21.2,19.3,22
2516,,14.9,17.2,23.4,18.7
2517,,20.6,17.8,16.9,17
2518,,14.3,15.8,17.2,19.9
2519,,17.8,15.6,17.4,17.3
2520,,15,16.2,16.9,17.6
2521.01,,15.7,13,13.8,18.9
2521.02,,18.4,17.6,14.9,16.7
2522.01,,21.1,16,18.6,17
2522.02,,18.6,12.8,12.9,14.4
2601,,21.4,17.7,13.5,15.1
2602,,11.6,11.7,15.7,11.1
2603,,15.2,20.6,21.1,21.4
2604,,15.3,15.3,18.9,14.6
2605,,21.3,24.8,23.4,26.9
2606,,18.7,15.8,14.1,11.4
2607,,22.9,22.9,23.5,17
2608,,20.1,20.8,20.4,20.3
2609,,14.4,16.9,17.1,17.7
2610,,12.6,10,8.6,8.8
2705,,16.2,14.5,14.9,17.7
2712,,20.7,16.7,20.2,17.6
2713,,17.7,19.8,23.6,21.1
2714,,18.2,23,20.3,16.5
2715,,17.2,15.6,16.3,13.6
2718,,14.9,15.4,13.2,11.7
2801,,1.4,1.5,1.9,2.4
2804,,17.1,18.3,15.6,18.7
2808,,15.5,13.8,14.6,20.1
2809,,9.3,9.9,9.6,6.3
2819,,3.2,3.1,2.8,2
2827,,9.9,9.1,11.3,8.7
2828,,5.5,7.8,5.3,4.1
2831,,5.7,5.9,7.3,8.3
2832,,7.3,7.2,7.4,13.7
2838,,12.3,14,12.9,14.3
2909,,19.9,21.8,20.6,16.2
2912,,10.5,11.4,12,13.6
2916,,13.7,13.2,9.1,3.6
2922,,18.3,18.2,17.5,13.7
2924,,17.9,20.1,22.3,20.6
2925,,16.8,13.3,12.7,13
3005,,9.3,10.6,7.9,5.9
3006,,12.3,11.6,8.2,7.7
3007,,9.4,8.9,9.5,8.3
3008,,9.9,8.4,9.1,8.9
3009,,13.9,15.1,12.3,9.1
3011,,6.9,6.2,5.1,4.8
3012,,8.6,6,3.8,3.9
3016,,10.9,12.7,9.7,7.9
3017.01,,13.1,16.6,13.6,12.2
3017.02,,8.7,9.1,7.9,6.2
3018.01,,12.6,10.5,8.9,6.5
3018.02,,7.4,7.1,8.7,5.9
3018.03,,12.7,12.2,12.9,12.6
3102,,5,7.2,7.9,10.2
3103,,10.8,12.3,9.5,12.5
3104,,10.1,10.5,9.7,11.8
3105,,8.1,6.4,8.5,6.6
3106,,11.4,11.8,11,10.9
3107,,8.3,5.8,9,6.7
3108,,7.3,8.7,7.4,6.2
3109,,6.9,6.6,6.8,4.1
3201,,2.8,2.5,2.3,3.8
3204,,5.4,4.9,5.3,6.5
3206,,5.4,5.8,8.6,10.3
3301,,6,7.8,8,8.6
3302,,10.9,10.2,6.8,7.4
3403,,10.4,11.5,9,11.2
3404,,4.6,2.8,3.1,4.9
3405,,15.4,16.1,18.7,16.6
3406,,23.6,21.5,18.8,17.7
3501,,11.1,14,12.3,12.5
3504,,18.8,18.9,17.1,12.3
3510,,11.3,10.4,9.6,11
3511,,14.1,18.8,14,13.5
3514,,26.3,25.7,20.3,15.9
3515,,11,6.7,3.2,3.4
3602,,11.5,11.4,10.9,22.3
3801,,21.9,18.6,20.5,20
3802,,35.6,34.4,35.9,36
3805,,27.4,29.3,27,14.1
3807,,18.8,18,20.1,14.2
3812,,19.8,19.1,24.4,19.4
3814,,10.8,7.9,8.5,9.7
3815,,9.9,7.6,3.4,2.8
3817,,0,0,0,0
3818,,17.2,19.8,15.5,19.5
3819,,15.7,14.9,18,20.9
3901,,9.8,11.4,14,17.1
3902,,10.4,12.5,11.1,17.4
3903,,11.8,12.6,12.7,12.9
3904,,17.9,19.9,18.8,17.9
3905,,11.9,10.4,10.9,10.7
3906,,7.5,6.8,7,6.7
3907,,7.3,6.9,9.7,11
4003,,12.4,15.4,22.1,29.1
4004,,14.6,15,13.9,14.8
4005,,14.7,16.1,19.3,21.3
4008,,17.4,16.6,19.6,15.1
4101,,8.6,6.6,8,8.2
4102,,8,6.3,6.2,10.3
4105,,12,9.2,8.5,10.8
4106,,7.3,7.9,8.6,8.1
4107,,12.1,10.2,12.3,10.3
4108,,9.6,7.8,8.5,7.8
4109,,12,11.9,11.1,11.3
4110,,11.4,13.8,16.9,16.7
4111,,5,5.6,7,5.6
4112,,9.5,7.9,7.9,7.6
4201,,27,27.9,26.3,24.6
4202,,8.9,9,8.9,11.1
4203,,4.2,2.2,3.2,4.4
4204,,20,16.5,11.7,10.9
4205,,23.4,20.5,20.7,18.6
4206,,13.3,13.4,17.7,13.9
4207,,17.3,17.1,16.7,18.9
4208,,15.3,21,22.3,24.6
4212,,12.1,14.1,17.1,17.7
4301.01,,9.9,11.8,12.2,12.3
4301.02,,16,14.4,18.6,19.3
4302,,13.6,14.1,14.9,14.6
4303,,14.8,14.8,14.1,15.5
4304,,13.4,18.2,19.9,22.3
4305,,13.3,13.3,15.2,15
4306,,14.1,12.1,13.8,15.2
4307,,18.9,19.9,18.8,15.4
4308,,18,19.9,15.5,15.8
4309,,21.7,23,27.4,20.3
4312,,11.9,16.7,16.1,17.7
4313.01,,22.1,19.4,19.1,19.2
4313.02,,13.6,16,16.5,17.7
4314,,21.9,19.2,17.4,15.8
4401.01,,13.6,13.3,12,14
4401.02,,22.9,19.6,21,16.9
4402.01,,14.2,13.5,11.1,14.8
4402.02,,18.6,21.7,22.4,22.2
4403,,19.3,18.2,19,17
4406,,18.3,17.6,14.8,15.5
4407,,20.7,16.5,17.1,19.5
4408,,20.8,18.9,17.5,14.2
4409,,18.2,17.4,25,20.9
4503,,16.4,17.9,16,15.2
4601,,17.5,15.7,18.4,16.7
4602,,12.8,9.2,11.1,10.3
4603.01,,21.7,19.2,16,16.1
4603.02,,13.7,13.3,13.7,15.2
4604,,14.5,17.5,20.4,18.2
4605,,15.9,16.4,15.6,16
4606,,17.7,12.1,11.7,17.6
4607,,9.6,8.1,9.4,7.7
4610,,28.9,28.3,28.4,26.6
4701,,23.4,21.5,19.4,15.2
4801,,22.6,18.8,17.3,16.8
4802,,19.5,25.4,19.5,23.9
4803,,16.2,18,15.7,17.4
4804,,23.6,19,16.6,16.8
4805,,21.4,17,11.9,11.6
4903,,19.1,20,22.4,21.4
4904,,14.2,15,11.1,8.7
4905,,13.8,16.3,14.3,15
4906,,22,24,31.7,31.1
4907,,19.3,17,18.3,20.8
4908,,20.8,22.9,23.9,21.8
4909.01,,15,11.9,14.7,14.6
4909.02,,17.3,17.9,17.3,22.6
4910,,15.8,15.5,13,17.9
4911,,16.8,16.4,16.9,18
4912,,13,10.7,11.5,15.2
4913,,21.8,19.5,16.8,14.3
4914,,22,17.8,17.1,13.2
5001,,20.1,17.7,13.3,15.3
5002,,12.3,13.6,15.2,17.6
5003,,11.3,7.8,7.3,5.1
5101,,10.1,9.4,9.9,9.3
5102,,14.2,12.5,14.7,13.8
5103,,18.3,19.9,19.2,18.9
5201,,10.9,9.4,13.5,10.2
5202,,11.8,9.1,9.5,6.9
5203,,11.2,9.9,11,11.7
5204,,7.9,7.1,5.8,9.5
5205,,9.4,10.2,10.7,8.8
5206,,13.6,12,9.6,8.8
5301,,15.2,16.2,16,15.4
5302,,14.5,12.5,13.5,15.6
5303,,14.4,15.7,16.9,15.8
5304,,14.9,15.7,14.5,13.6
5305.01,,18.2,16.6,18.6,14.7
5305.02,,16.1,18.6,16.1,15.4
5305.03,,16.1,19.4,17.3,13.4
5306,,12.4,12.5,17.1,15.6
5401.01,,5.8,7.5,11.8,13.4
5401.02,,13,15.4,17.2,18.3
