tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
625,, 0.723 , 0.969 , 0.722 , 2.172 , 1.918 
626,, 5.826 , 5.524 , 4.930 , 5.064 , 4.021 
627,, 4.580 , 5.005 , 4.117 , 6.604 , 4.486 
628,, 4.857 , 4.351 , 4.986 , 4.072 , 3.841 
629,, 2.205 , 2.538 , 1.636 , 1.447 , 1.355 
630,, 8.576 , 6.972 , 6.076 , 5.629 , 3.142 
631,, 4.808 , 8.045 , 9.186 , 7.950 , 11.681 
632,, 11.726 , 13.359 , 11.153 , 8.701 , 11.616 
633.01,, 5.309 , 7.045 , 6.617 , 10.427 , 10.270 
633.02,, 9.031 , 7.167 , 6.040 , 5.117 , 5.528 
633.03,, 1.801 , 5.704 , 5.725 , 6.618 , 3.276 
634,, 3.422 , 4.124 , 3.913 , 2.367 , 2.307 
701.01,, 4.063 , 3.611 , 3.631 , 3.381 , 3.722 
701.02,, 9.763 , 8.998 , 9.342 , 6.830 , 5.541 
701.03,, 4.850 , 6.373 , 11.365 , 9.189 , 6.232 
702,, 5.875 , 6.198 , 6.325 , 5.141 , 3.211 
703,, 4.028 , 3.754 , 3.785 , 4.481 , 4.287 
704,, 5.212 , 5.087 , 6.543 , 6.260 , 4.428 
705,, 1.849 , 2.349 , 4.353 , 4.379 , 5.090 
706,, 2.331 , 3.114 , 2.294 , 2.857 , 5.135 
707,, 4.075 , 5.599 , 4.138 , 3.434 , 4.608 
710,, 3.474 , 4.933 , 4.811 , 5.432 , 4.559 
711,, 4.684 , 4.570 , 3.130 , 4.722 , 4.851 
712,, 2.455 , 1.786 , 2.965 , 4.623 , 4.548 
713,, 5.589 , 5.565 , 4.106 , 3.413 , 3.148 
714,, 7.556 , 9.846 , 8.251 , 5.054 , 5.925 
715,, 4.563 , 4.956 , 5.843 , 6.616 , 6.623 
716,, 2.221 , 8.571 , 8.637 , 7.031 , 7.167 
717,, 7.916 , 6.398 , 5.942 , 5.378 , 4.212 
718,, 2.653 , 2.397 , 3.761 , 3.481 , 3.307 
801,, 2.345 , 2.794 , 5.445 , 5.923 , 5.202 
802.01,, 5.156 , 5.410 , 4.563 , 6.228 , 6.451 
802.02,, 7.151 , 11.039 , 9.372 , 9.303 , 7.930 
803,, 3.972 , 3.996 , 5.738 , 6.826 , 6.066 
