GEO.id,GEO.id2,GEO.display-label,,,,,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,,,0,,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",101,101,0,9.786898185,5068,641,4004,570,11,18,57,56,500,243,496,327
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",102.01,102.01,0,24.57627119,7316,809,4669,719,16,25,101,85,732,230,1798,466
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",102.02,102.02,0,19.04761905,2583,380,1893,298,0,11,14,22,184,130,492,195
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",103,103,0,22.07749382,6065,741,4051,590,4,9,59,54,612,212,1339,482
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",104,104,0,9.203238176,4694,488,3840,462,8,14,24,21,390,159,432,243
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",105.01,105.01,0,11.94968553,3816,415,2878,461,33,48,55,65,394,183,456,222
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",105.02,105.02,0,22.87234043,3760,608,2636,600,11,22,9,13,244,109,860,646
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",105.03,105.03,0,9.161290323,2325,424,1736,440,14,23,22,35,340,132,213,102
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",106,106,0,13.83530089,6946,660,5306,622,61,77,0,16,618,147,961,419
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",107.01,107.01,0,27.11133655,3943,420,2502,302,0,11,24,29,348,149,1069,348
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",107.02,107.02,0,35.27173913,5520,681,2905,408,18,26,17,19,633,248,1947,549
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",201,201,0,15.49497848,4182,479,2710,377,24,31,36,57,764,363,648,274
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",202,202,0,19.7071385,6556,818,3509,569,15,26,181,168,1559,334,1292,773
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",203.01,203.01,0,5.102235811,5233,483,3776,530,0,16,102,132,1088,197,267,119
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",203.02,203.02,0,32.23305272,4514,610,2490,386,9,15,12,20,548,212,1455,637
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",204,204,0,17.89954338,4380,431,2900,295,0,11,12,19,684,173,784,279
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",205,205,0,25.33090668,6044,660,3031,547,2,5,29,45,1451,313,1531,490
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",206.01,206.01,0,29.26459439,6595,756,3388,495,0,16,76,53,1201,324,1930,643
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",206.02,206.02,0,27.26347915,3932,456,1930,339,34,51,46,37,850,201,1072,313
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",207.01,207.01,0,7.34375,1920,380,1230,284,0,11,9,16,540,135,141,93
