tract,percent_hispanic_2016,percent_hispanic_2015,percent_hispanic_2014,percent_hispanic_2013,percent_hispanic_2012,percent_hispanic_2011
511,,0.1671251719,0.1566186107,0.1663695781,0.1016077170,0.0775144138
512,,0.1271393643,0.1088348271,0.1116564417,0.0742514970,0.0478110599
513,,0.0701503221,0.1114121233,0.1399267399,0.1149508912,0.1142270862
514,,0.1644420715,0.1301747930,0.2064896755,0.2185135737,0.1426188490
601,,0.1207476636,0.0816640986,0.1278079009,0.1582229150,0.1841459137
602,,0.2318007663,0.1429915334,0.1318801090,0.1510119357,0.1555793991
603,,0.0551108374,0.0431360202,0.0235474006,0.0412504028,0.0482758621
604,,0.1036902287,0.1066699975,0.1201345507,0.1044022131,0.1112178717
605,,0.1256038647,0.1165991903,0.0769230769,0.0689655172,0.0642361111
608,,0.0471887550,0.0433884298,0.0490277203,0.0601115472,0.0471757986
609,,0.1527230253,0.1327315774,0.1651669971,0.1499609070,0.1480813381
610,,0.1116121759,0.1538461538,0.1632775120,0.0830961867,0.0956175299
611,,0.0221914008,0.0320855615,0.0367118915,0.0237885463,0.0191188695
612,,0.0508953817,0.0456375839,0.0317944251,0.0311653117,0.0245074483
615,,0.0743353228,0.0640129102,0.0882642998,0.1112869198,0.0963791267
618,,0.1000848176,0.1097345133,0.1004366812,0.0562851782,0.0893401015
619.01,,0.0986465383,0.1196829590,0.1104327051,0.1171481580,0.1197183099
619.02,,0.0358655044,0.0533992583,0.0701619121,0.0638777555,0.0533727004
620,,0.0386280386,0.0365895754,0.0564808110,0.0505660377,0.0722158875
621,,0.0542420028,0.0667259786,0.0476909146,0.0615863142,0.0889987639
622,,0.0400444939,0.0535654503,0.0803889789,0.0979258756,0.0895420369
623,,0.0409683426,0.0413752914,0.0467625899,0.0360195360,0.0339083879
624,,0.0520764667,0.0524044390,0.0725570509,0.1077515118,0.0881081081
625,,0.0585683297,0.0447093890,0.0401284109,0.0719101124,0.0575284091
626,,0.1225722918,0.1284524331,0.1615316901,0.1442060086,0.1376228776
627,,0.0632867133,0.0634747914,0.0634272997,0.0772983114,0.0649350649
628,,0.0525714286,0.0859704641,0.0834710744,0.0817186184,0.1008189777
629,,0.0350960398,0.0335249042,0.0392706872,0.0504201681,0.0826371641
630,,0.0977848101,0.0942716858,0.0632061069,0.0477453581,0.0288267512
631,,0.0431947840,0.0775323051,0.0620805369,0.0652719665,0.0660203139
632,,0.0318352060,0.0265957447,0.0262129599,0.0279003783,0.0632192727
633.01,,0.0781190747,0.0658796649,0.0603804797,0.0664251208,0.0587467363
633.02,,0.0507229201,0.0430004778,0.0460396040,0.0315926893,0.0335689046
633.03,,0.0737564322,0.0432152118,0.0047058824,0.0000000000,0.0000000000
634,,0.0628192033,0.0769230769,0.0734299517,0.0566134843,0.0498164657
701.01,,0.0190895742,0.0092778335,0.0053255870,0.0075700227,0.0129774731
701.02,,0.1173041894,0.1231174699,0.1507430998,0.1421821306,0.1260907504
701.03,,0.0570902394,0.0732578916,0.1086350975,0.1102702703,0.1081716637
702,,0.0633462282,0.0690881382,0.0690487687,0.0788069835,0.0149178255
703,,0.0361938120,0.0413833875,0.0401995305,0.0414774447,0.0583506996
704,,0.0787701318,0.0831395349,0.0871428571,0.0763358779,0.0956334563
705,,0.0541919031,0.0761085374,0.0667302193,0.0530128416,0.0512315271
706,,0.1037911746,0.1102821927,0.0511644319,0.0643717728,0.0672297297
707,,0.1537550344,0.1659553101,0.1677103185,0.1036585366,0.1099899092
710,,0.0619533528,0.0977320552,0.1094017094,0.1125992063,0.0808978256
711,,0.0419433764,0.0341064120,0.0366879838,0.0569444444,0.0491858887
712,,0.0963172805,0.1071428571,0.0956480153,0.0690997567,0.0464997445
713,,0.0144050706,0.0330990041,0.0239032621,0.0219200888,0.0277407309
714,,0.0635509937,0.0553132890,0.0501500214,0.0527236928,0.0548606539
715,,0.0499397279,0.0537653240,0.0494426465,0.0530344451,0.0479839445
716,,0.0258103241,0.0285714286,0.0164512338,0.0259599784,0.0543113102
717,,0.0659703134,0.0827357970,0.0952914798,0.0901960784,0.0911713791
718,,0.0438467207,0.0501872659,0.0752110514,0.0552402573,0.0359330339
801,,0.0483187341,0.0482199189,0.0606577723,0.0322316754,0.0232356511
802.01,,0.0039429785,0.0080370943,0.0205024545,0.0318713450,0.0315366972
802.02,,0.0248362445,0.0232097368,0.0235728486,0.0460720614,0.0468848332
803,,0.0473272766,0.0330357143,0.0571619217,0.0633965757,0.0611201487
804,,0.0235503661,0.0248624414,0.0277466995,0.0093906967,0.0569991618
810,,0.0796796525,0.0646290561,0.0724619127,0.0605630165,0.0567394779
811,,0.0703664365,0.0735575608,0.0536692223,0.0632034632,0.0319148936
812.01,,0.0835610200,0.0738137083,0.0595473522,0.0480253535,0.0407580478
812.02,,0.0522462562,0.0903446135,0.0605875153,0.0571614160,0.0776068376
813,,0.0462538226,0.0445280032,0.0264317181,0.0255122539,0.0278824416
814.01,,0.0218005652,0.0190779014,0.0245762712,0.0207006369,0.0116139367
814.02,,0.0466582598,0.0476190476,0.0346267191,0.0498540856,0.0483511034
814.03,,0.0722826817,0.0748143918,0.0635131152,0.0749080882,0.0783174938
815,,0.0303304663,0.0322727273,0.0243088656,0.0287187040,0.0203423468
816,,0.0443584400,0.0525653132,0.0785819793,0.0736215539,0.0697395989
817,,0.0528756957,0.1702245633,0.1792248062,0.2022621424,0.1791044776
818,,0.0412286689,0.0356570513,0.0513599337,0.0446362148,0.0294901961
819,,0.0276717557,0.0321180556,0.0239013107,0.0586756077,0.0564578500
901,,0.1074709124,0.1094420601,0.0845611787,0.0657646318,0.0859741784
902,,0.0988621250,0.0711832657,0.0625493603,0.0421559771,0.0397350993
903,,0.0325018896,0.0332075472,0.0181691125,0.0080704329,0.0161616162
1001,,0.0951750237,0.1332509707,0.1703122391,0.1768456376,0.1529333110
1002,,0.1159713574,0.1299015897,0.1654328018,0.1754312743,0.1774719818
1003,,0.0772955214,0.1292088240,0.1320663553,0.1025896414,0.1092800000
1004,,0.1130349559,0.1288404361,0.0949003715,0.0991735537,0.1066623959
1005,,0.1264019939,0.0591543832,0.1631150717,0.1039052836,0.1801909308
1006,,0.1722926829,0.1657784545,0.1478331308,0.1461440136,0.1209766926
1007,,0.1332497911,0.1158138555,0.1198724761,0.0855106888,0.1090868696
1101,,0.2164451827,0.2053013676,0.2024028033,0.1836197825,0.1591708310
1102,,0.2062193126,0.1140205502,0.1189077083,0.1331575478,0.1454911163
1103,,0.1961194598,0.1853594279,0.1971751412,0.2073044200,0.1726690676
1104,,0.2518518519,0.1883307051,0.2270806929,0.2675474814,0.2577428935
1105.01,,0.2519083969,0.2221742882,0.2476741782,0.1669047133,0.2795319055
1105.02,,0.2509641873,0.2641250686,0.2336719884,0.2244309997,0.1998847926
1201,,0.0339473684,0.0433258202,0.0543837357,0.0522956052,0.0630672562
1202,,0.0976401819,0.1102811951,0.0779938135,0.0788049871,0.0716325559
1203,,0.1038285804,0.1128014242,0.0885920467,0.0982594937,0.1064737243
1204,,0.2628711523,0.2623867874,0.2861349036,0.3178553104,0.3204787234
1301,,0.0882182240,0.1254362156,0.0985526102,0.1116294568,0.0907118911
1302,,0.1580246914,0.1927409262,0.1784313725,0.1746532156,0.1066098081
1303,,0.2050319189,0.2022813688,0.2076624098,0.2039381153,0.1753325272
1401,,0.5157836948,0.5675410640,0.5726326227,0.5737704918,0.5796006476
1402,,0.4788403865,0.5019508058,0.5096698900,0.5847247990,0.6210226373
1403.01,,0.6036454610,0.6684861718,0.6896677620,0.6665407855,0.6509433962
1403.02,,0.4008861940,0.4244186047,0.4346312813,0.4107101816,0.5047619048
1404,,0.2723049597,0.2733092124,0.3174084660,0.2860685631,0.2812781278
1405,,0.4763327206,0.4989080320,0.5081387120,0.5378736795,0.5286497260
1406.01,,0.5906472382,0.6332098350,0.6613933678,0.6572059287,0.5811138015
1406.02,,0.6508588499,0.6970074813,0.7000350018,0.7175268445,0.7052386078
1407.01,,0.4723694171,0.5069182390,0.4777874564,0.4968253968,0.4625735913
1407.02,,0.6730895916,0.6397952655,0.6405971118,0.6236966825,0.6312849162
1408,,0.3323317308,0.3968650298,0.3937401368,0.3979565442,0.4228945007
1502,,0.2631013169,0.2710650812,0.3066701750,0.3146557251,0.2800101407
1503,,0.3751506387,0.3223491895,0.3045461023,0.2863222777,0.2418269231
1504.01,,0.2155085599,0.2851196670,0.2321888412,0.1974124470,0.1844097996
1504.02,,0.4118131868,0.4760487145,0.5115321252,0.4643905041,0.3105320304
1505.01,,0.2917839775,0.2912102592,0.3400305188,0.2957435047,0.1918819188
1505.02,,0.4118644068,0.4023310023,0.4477452447,0.4713811696,0.4304533127
1506,,0.4092898833,0.4118407446,0.3619696176,0.3832876712,0.4158245009
1507,,0.4647148787,0.4317247349,0.4391677974,0.4306897326,0.3947110676
1508,,0.5859201774,0.5296275913,0.5421252372,0.5535213899,0.5329588015
1510.01,,0.5385913117,0.6733648542,0.7087980173,0.6590563166,0.6944837341
1510.02,,0.6065416065,0.6473852721,0.6758045292,0.6544132101,0.6472748357
1511,,0.5371839823,0.5041736227,0.5272128607,0.4494837012,0.4809455879
1512,,0.3744704886,0.3467391304,0.3301937567,0.3812654067,0.3111171811
1601,,0.2576208178,0.2867479056,0.2103399433,0.1954802260,0.2514498757
1602,,0.2412746586,0.2891156463,0.2257378357,0.2285495403,0.2405673000
1603,,0.2406290957,0.2409079185,0.2480702688,0.2481183493,0.2459718026
1604,,0.4705537077,0.4444007859,0.4872348782,0.4583896505,0.4701961531
1605.01,,0.6974161862,0.7043130280,0.6943606405,0.6665907538,0.6264571718
1605.02,,0.6824722812,0.6661558669,0.6257882148,0.6740878169,0.6541095890
1606.01,,0.6089436459,0.5968992248,0.5578078078,0.4448839662,0.3804831532
1606.02,,0.4501259446,0.4817976400,0.5095250191,0.4869655892,0.4926778243
1607,,0.3468133290,0.4131158455,0.4862448418,0.4895390373,0.5007230658
