tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
511,,0.7806052270,0.7660550459,0.7100415924,0.7710610932,0.8122998078
512,,0.7451100244,0.7823303457,0.7601226994,0.8293413174,0.8703917051
513,,0.8632784538,0.8171351168,0.8058608059,0.8279374318,0.8033515732
514,,0.6775226909,0.7401103956,0.6809945217,0.6906987094,0.6317764804
601,,0.7742056075,0.8189522342,0.7939581720,0.7521434139,0.7179936864
602,,0.6767241379,0.7488240828,0.7602179837,0.7353399066,0.7398068670
603,,0.8765394089,0.9036523929,0.9412844037,0.9410248147,0.9244514107
604,,0.7928794179,0.8351236573,0.8310908217,0.8585518403,0.8585154936
605,,0.7077294686,0.6817813765,0.7415730337,0.8146551724,0.8550347222
608,,0.7682730924,0.7739669421,0.7763756723,0.6820904772,0.7518510683
609,,0.7094466345,0.7055341817,0.6553301815,0.6248631744,0.6474253854
610,,0.7660653890,0.6928904429,0.7009569378,0.7842914058,0.8081957883
611,,0.9029126214,0.8930481283,0.9169992019,0.9418502203,0.9467996675
612,,0.8732327992,0.8322147651,0.8593205575,0.8541102078,0.8697741470
615,,0.8752034726,0.8703604088,0.8648915187,0.8633966245,0.8775292865
618,,0.7201017812,0.7513274336,0.8026200873,0.8611632270,0.8558375635
619.01,,0.7402394586,0.7392338177,0.7196708256,0.7187914127,0.7300469484
619.02,,0.8156911582,0.7940667491,0.7933693138,0.7930861723,0.8235294118
620,,0.8128538129,0.8101484294,0.8233164374,0.8622641509,0.8289623717
621,,0.8470097357,0.8466785291,0.8016903109,0.8052877138,0.7880098888
622,,0.8468668891,0.8419819217,0.8411669368,0.8163889833,0.8250170882
623,,0.8553693358,0.8787878788,0.8884892086,0.9096459096,0.9190957763
624,,0.8661832564,0.8859432799,0.8490345231,0.8268279274,0.8513513514
625,,0.8467100506,0.8792846498,0.8964686998,0.7827715356,0.8210227273
626,,0.7160120846,0.7487943884,0.7266725352,0.7643776824,0.7765862377
627,,0.8758741259,0.8755894088,0.8798219585,0.8630393996,0.8602912239
628,,0.8628571429,0.8146097046,0.7881542700,0.7725358045,0.7647557187
629,,0.8653070903,0.8793103448,0.8969144460,0.9068627451,0.8771731768
630,,0.7474683544,0.7803600655,0.8256488550,0.8493958149,0.8812337850
631,,0.8447432763,0.7919966653,0.8036912752,0.8041841004,0.7950138504
632,,0.7977528090,0.7867781155,0.7845978509,0.7801071879,0.7468160196
633.01,,0.7318923019,0.7128712871,0.7564102564,0.7447665056,0.6988685814
633.02,,0.7892865608,0.8021978022,0.8549504950,0.8647519582,0.8538616860
633.03,,0.8319039451,0.8954191876,0.9458823529,0.9509803922,0.9258970359
634,,0.8084780388,0.8127896200,0.7946859903,0.8162635100,0.7965390666
701.01,,0.8627019090,0.8844032096,0.8973614137,0.8755992935,0.8978942214
701.02,,0.7420765027,0.7082078313,0.6492569002,0.6890034364,0.6993891798
701.03,,0.8354818907,0.8308516974,0.7877437326,0.8016216216,0.7519106408
702,,0.7920696325,0.7919735839,0.8271366490,0.8026188167,0.8156763590
703,,0.8096906013,0.8010641443,0.8116197183,0.7574931880,0.8035129503
704,,0.8149341142,0.8450581395,0.8625714286,0.8577099237,0.8173431734
705,,0.8543194135,0.8596955659,0.8468382587,0.8498518275,0.8646962233
706,,0.8579863269,0.8462536490,0.9117854622,0.9015490534,0.8959459459
707,,0.6901208244,0.7230730605,0.7054179145,0.7265725289,0.6481668348
710,,0.8029640428,0.7605798457,0.7384615385,0.7333829365,0.7769464578
711,,0.8388675288,0.8642564802,0.8697408280,0.8364583333,0.8612618725
712,,0.7700661001,0.7301587302,0.7599234816,0.8048661800,0.8477261114
713,,0.8910976664,0.8535442296,0.8796400450,0.8779134295,0.8925046679
714,,0.7837955886,0.8154693597,0.8401200171,0.8241085102,0.8483651525
715,,0.7893921130,0.8162872154,0.8451995685,0.8438126481,0.8474730889
716,,0.8265306122,0.8373177843,0.8490011751,0.8745267712,0.8303471445
717,,0.6767454645,0.7071152785,0.6922645740,0.7305322129,0.7403346797
718,,0.7092851879,0.7850187266,0.7160399079,0.7782822550,0.8187015108
801,,0.8621079401,0.8702118071,0.8440893577,0.8797447644,0.8907577597
802.01,,0.9111313315,0.9115919629,0.8795841756,0.8818713450,0.8813073394
802.02,,0.8632641921,0.8550806680,0.8287418347,0.7838157118,0.8231592196
803,,0.7863934080,0.7799107143,0.7375444840,0.7755668672,0.8099000697
804,,0.3394023352,0.3639698390,0.3573506377,0.3374099148,0.2833193630
810,,0.6701506719,0.7099771105,0.6799385482,0.7073863636,0.6929941396
811,,0.7429633563,0.7555373257,0.7916210296,0.8118326118,0.8085106383
812.01,,0.7536429872,0.7458260105,0.7721379917,0.7874207704,0.7904984424
812.02,,0.8675540765,0.8556348960,0.8867809058,0.8671646639,0.8588034188
813,,0.7406345566,0.7524243024,0.7659191029,0.7967055042,0.8244159759
814.01,,0.7048849415,0.6669316375,0.6758474576,0.6588375796,0.6968362034
814.02,,0.6920975200,0.7120072910,0.7426326130,0.7711575875,0.7899826432
814.03,,0.6541717050,0.6484865791,0.6743295019,0.6602328431,0.6610348469
815,,0.6751923947,0.7234090909,0.7745471878,0.7646048110,0.7824361201
816,,0.6981244418,0.7293043752,0.7113737075,0.7105263158,0.6988925471
