tract,percent_black_2016,percent_black_2015,percent_black_2014,percent_black_2013,percent_black_2012,percent_black_2011
626,,0.014674148,0.009206488,0.009242958,0.005150215,0.004021448
627,,0.003496503,0.005803410,0.008902077,0.010881801,0.008264463
628,,0.016285714,0.039029536,0.036088154,0.065992699,0.070883931
629,,0.023002134,0.002634100,0.002337541,0.003501401,0.002935200
630,,0.036075949,0.022258592,0.014351145,0.027704097,0.036321707
631,,0.007334963,0.000000000,0.026426174,0.030543933,0.036934441
632,,0.041486603,0.037537994,0.044285249,0.052648172,0.054166027
633.01,,0.076602199,0.101675552,0.062861869,0.061996779,0.071801567
633.02,,0.007584736,0.016244625,0.012623762,0.009660574,0.012367491
633.03,,0.026586621,0.023336214,0.029019608,0.015522876,0.008580343
634,,0.060776302,0.043095459,0.061835749,0.061760165,0.088620870
701.01,,0.015907978,0.024072217,0.017671266,0.014130709,0.025465230
701.02,,0.053916211,0.081325301,0.093842887,0.066151203,0.056719023
701.03,,0.047268263,0.045265039,0.021169916,0.007567568,0.017048795
702,,0.053675048,0.046736093,0.038628682,0.053103783,0.043489254
703,,0.013718622,0.016553355,0.008509390,0.012412958,0.012801429
704,,0.053001464,0.038372093,0.030857143,0.045190840,0.047970480
705,,0.045266178,0.036068829,0.036860502,0.041817583,0.022003284
706,,0.013051585,0.012650016,0.016584333,0.003098107,0.002702703
707,,0.056621654,0.004268140,0.026953444,0.030808729,0.072317524
710,,0.039115646,0.033200842,0.038339438,0.040922619,0.045592705
711,,0.039147151,0.033083220,0.027936722,0.027083333,0.030868385
712,,0.029745042,0.036210317,0.041606887,0.045255474,0.039345938
713,,0.019878997,0.031927358,0.030652418,0.029411765,0.027740731
714,,0.060056781,0.039247188,0.032361766,0.028877707,0.040157999
715,,0.027380747,0.032574431,0.040992449,0.053945690,0.072249589
716,,0.070228091,0.043731778,0.047003525,0.032449973,0.031914894
717,,0.154480484,0.138444567,0.137892377,0.122128852,0.110790537
718,,0.179071481,0.119475655,0.136607828,0.106696935,0.099632503
801,,0.032918904,0.036502929,0.034905368,0.008507853,0.009363621
802.01,,0.050348802,0.040494590,0.051111753,0.023684211,0.018348624
802.02,,0.018013100,0.030851967,0.049701789,0.056704076,0.068281938
803,,0.077540672,0.077901786,0.072508897,0.075659417,0.058099001
804,,0.567979418,0.553495007,0.554710226,0.587901288,0.615046102
810,,0.102348310,0.095597146,0.104340033,0.085743802,0.112413426
811,,0.103558152,0.099808586,0.104052574,0.063780664,0.083037825
812.01,,0.025500911,0.028339192,0.024390244,0.013651877,0.017653167
812.02,,0.007986689,0.007761565,0.000000000,0.000000000,0.000000000
813,,0.034977064,0.042153176,0.054064878,0.039975894,0.028447626
814.01,,0.138070246,0.170508744,0.175000000,0.170382166,0.178213857
814.02,,0.057166877,0.035543404,0.044941061,0.003891051,0.015869080
814.03,,0.031170227,0.026556254,0.016504568,0.015165441,0.032382964
815,,0.023766410,0.020909091,0.005481411,0.029945999,0.024807740
816,,0.038404287,0.011960969,0.017134417,0.014097744,0.011074529
817,,0.035559678,0.037704464,0.051472868,0.043246840,0.055437100
818,,0.024163823,0.023904915,0.025956096,0.027079304,0.027137255
819,,0.350190840,0.372395833,0.519660756,0.544844929,0.556844548
901,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
902,,0.017733117,0.018264127,0.000000000,0.000000000,0.000157679
903,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1001,,0.000189215,0.000000000,0.004508265,0.009899329,0.007855591
1002,,0.029887920,0.031491294,0.031890661,0.023372287,0.023975032
1003,,0.015389936,0.015425444,0.013528749,0.011620186,0.010880000
1004,,0.000326691,0.001651800,0.001350895,0.001322314,0.001601537
1005,,0.003560620,0.000969744,0.000581170,0.000883548,0.000681896
1006,,0.004292683,0.004377617,0.003847712,0.000000000,0.000000000
1007,,0.002088555,0.001895136,0.000425080,0.000863744,0.000444346
1101,,0.000000000,0.020260003,0.012681462,0.017537706,0.018878401
1102,,0.018657938,0.024527676,0.004839267,0.000329598,0.000335233
1103,,0.008369793,0.007715469,0.006967985,0.006847894,0.000000000
1104,,0.005611672,0.005181347,0.005492184,0.006606111,0.002757743
1105.01,,0.007633588,0.004529767,0.032458135,0.036319119,0.020975933
1105.02,,0.023966942,0.016730664,0.009869376,0.007202535,0.010368664
1201,,0.000263158,0.000250438,0.000762389,0.015467714,0.015359553
1202,,0.023381684,0.004613357,0.008395935,0.012938132,0.007615421
1203,,0.010713723,0.001456546,0.017196376,0.025949367,0.025133283
1204,,0.000000000,0.000000000,0.000000000,0.004617753,0.007446809
1301,,0.022054556,0.015509888,0.012684989,0.015494835,0.052455137
1302,,0.014197531,0.018147685,0.037908497,0.036569987,0.040511727
1303,,0.031731130,0.030608365,0.016102165,0.009242516,0.010681177
1401,,0.090859182,0.071341015,0.101883986,0.055015282,0.070156503
1402,,0.054481839,0.042748092,0.031677226,0.026437848,0.018996359
1403.01,,0.011079342,0.003639010,0.009492516,0.033232628,0.026280323
1403.02,,0.050839552,0.082737030,0.088318469,0.095840037,0.090370370
1404,,0.001502938,0.000000000,0.007486049,0.008460977,0.009150915
1405,,0.040211397,0.016258190,0.031847134,0.030568667,0.029147982
1406.01,,0.007793968,0.009430785,0.039853970,0.036581520,0.049939467
1406.02,,0.064040329,0.060562879,0.050402520,0.053688950,0.045748116
1407.01,,0.038607116,0.029769392,0.029616725,0.025396825,0.019764508
1407.02,,0.063076416,0.062220090,0.052409541,0.078830964,0.069273743
1408,,0.040715144,0.027604383,0.014992109,0.015519917,0.016664530
